P_ID,S_G30,S_G50,S_F75,S_FF,S_G50FF,About_Proposal_Deadline,NA1,NA2 ,NA3,NA4,NA5, PA1,PA2,IS1,IS2,,,
P_146,0,0,1,0,0,Deadlines provide external accountability to submit despite the added pressure to meet them.  The removal of deadlines by NSF has reduced the urgency and requires more self-discipline.,0,0,0,0,1,0,1,0,1,,,
P_150,0,0,1,0,0,Please note that I am taking this survey after a big deadline for proposal to an experimental facilty (August 3). Last week some of my answers would've been different.,0,0,0,0,1,0,0,0,0,,,
P_151,0,0,1,0,0,2 kids and dog,,,,,,,,,,,,
P_153,0,0,0,0,0,Rolling deadlines would be helpful as is the case for many areas covered by NSF. ,0,0,0,0,0,0,0,0,1,,,
P_154,1,0,0,0,0,I don't find the deadlines stressful except for the inevitable bureaucratic nonsense (either from my university or the every-changing whims of the funders). The other parts are fairly straightforward.,1,1,0,0,0,0,0,0,0,,,
P_155,1,1,1,1,1,Deadlines are helpful,,,,,,,,,,,,
P_156,0,0,1,0,0,Proposal deadlines are not the problem.  The problem is an unhealthy work culture in the scientific enterprise as a whole.  Replacing proposal deadlines with some other mechanism may have little to no effect on this overarching culture.,0,0,0,1,1,0,0,0,0,,,
P_157,0,0,1,0,0,NSF is currently working on a no-deadline model,0,0,0,0,0,0,0,0,1,,,
P_158,0,0,1,0,0,My reactions and stress have changed significantly over my 4 years as assistant professor with no grants funded.  My stress and work distribution is completely different now,,,,,,,,,,,,
P_159,1,0,1,1,0,All ideas,,,,,,,,,,,,
P_162,0,0,1,1,0,It feels like sending ideas into a void for a long time. It would be much better to present proposals in the form of presentations to program officers and to be able to answer questions.,0,0,0,0,0,0,0,0,0,,,
P_165,0,0,0,0,0,I'd like to see rolling deadlines. ,0,0,0,0,0,0,0,0,1,,,
P_166,0,0,0,0,0,I typically submit my grant proposals a week or more ahead of the deadline in order to successfully work with our admin teams that ultimately submit the paperwork. I also let these teams know that I am planning a submission at least 3 months in advance. I find that this helps ease a lot of stress and has extremely beneficial effects on my relationships with admin personnel.,0,0,0,0,0,1,1,0,0,,,
P_167,0,0,1,0,0,The deadline serves the purpose that I have no objection to keep.,0,0,0,0,0,0,1,0,0,,,
P_168,1,0,0,0,0,Wishing I had had more time,0,0,0,0,1,0,0,0,0,,,
P_170,0,0,0,0,0,Frustration with associates not doing their part or doing it well,,,,,,,,,,,,
P_171,0,0,0,0,0,Honestly,,,,,,,,,,,,
P_174,0,0,0,0,0,quarterly proposal deadlines,0,0,0,0,0,0,0,0,1,,,
P_180,0,0,0,0,0,I have been funded by NSF,,,,,,,,,,,,
P_182,0,0,1,0,0,None.,0,0,0,0,0,0,0,0,0,,,
P_184,0,0,0,0,0,Working with sponsored projects office on budgets can be more stressful than anything else because you cannot submit without the university but because that office works on deadline it can be hard to get to the front of the line if you are too early. ,0,1,0,0,0,0,0,0,0,,,
P_190,1,1,1,0,0,Research proposals to private industry require much more time and effort to engage,,,,,,,,,,,,
P_191,0,0,0,0,0,Timelines between publication of a solicitation and deadlines are artificially short. There's also the fact that internal deadlines for submission to the research office are always days earlier to ensure that the proposal is submitted on time. Multiple NSF programs are now moving away from fixed deadlines which is helpful. Additionally,,,,,,,,,,,,
P_195,0,0,0,0,0,I tend to be more irritable with family and put everything on the back burner as I try to make a deadline.,0,0,0,1,0,0,0,0,0,,,
P_197,0,0,0,0,0,We are required to submit proposals through Sponsored Programs at least 1 week prior to submission to check docs/correct errors. ,0,1,0,0,0,1,0,0,0,,,
P_198,1,0,1,0,0,It's important to be able to meet deadlines. Deadlines help me focus on the task at hand. There is some stress,,,,,,,,,,,,
P_201,0,0,1,0,0,I think no matter how early I start or how late I start the stress of the deadline is always there - so I find I do better not starting too early because im always focused on polishing at the end,0,0,0,0,1,0,0,0,0,,,
P_202,0,0,0,0,0,I submit more to NIH simply because I can... three deadlines a year are more convenient than a single submission window at NSF. The engineering directorate at NSF got rid of deadlines,,,,,,,,,,,,
P_203,1,1,1,0,0,Without proposal deadlines I doubt they would get done,,,,,,,,,,,,
P_204,0,0,1,1,0,Deadlines are just part of life,0,0,0,0,0,0,1,0,0,,,
P_207,0,0,0,0,0,NASA deadlines are usually not optimal for professors. The overall low funding rate makes it very difficult for early career faculty to get their foot in the door. Often most of my time with proposals is spent on appeasing internal paperwork that has no effect on the overall quality of the proposal thus I typically have a very short time to actually spend on the proposal.,1,0,0,1,0,0,0,0,0,,,
P_209,0,0,0,0,0,Constant fight against a sense of hopelessness with funding proposals in order to maintain enthusiasm for the sake of my postdocs and students. ,0,0,0,0,0,0,0,1,0,,,
P_210,0,0,0,0,0,No comment,0,0,0,0,0,0,0,0,0,,,
P_213,1,1,0,0,0,My main agency doesn't have fixed proposal deadlines and that is quite nice. ,0,0,0,0,0,0,0,0,1,,,
P_214,0,0,0,0,0,Deadlines help me focus. Without a deadline the submission might be delayed without significant improvement in the proposal quality ,0,0,0,0,0,0,1,0,1,,,
P_216,0,0,0,0,0,Feel like institution and department does not appreciate or support my proposal writing efforts,0,1,0,0,0,0,0,0,0,,,
P_219,0,0,0,0,0,There is tremendous pressure to submit.  Process is extremely confusing with very limited support. Most of the time people who get these things are already known to the granting institutions.  It is a good old boy network and there is no way to break in.  Still have to try even though you know there is no way you will get it.,1,1,0,0,1,0,0,0,0,,,
P_220,0,0,0,0,0,too few appropriate funding opportunties,0,0,0,0,0,0,0,1,0,,,
P_224,1,1,1,0,0,Deadlines are good to get things done. Sometimes I try to submit something for a deadline I know isn't realistic just to make enough progress for a future more realistic one. Although the last time I tried that I actually did finish the proposal and it got funded first time around!! So turning out to be a fantastic strategy ,0,0,0,0,0,1,1,0,0,,,
P_225,0,0,1,1,0,Proposal deadlines would be much less problematic if they were tuned to typical faculty schedules. For example have proposals due during summer/winter breaks. Also the stress can be slightly reduced by only requiring documents necessary for evaluating the proposal at the deadline and then requiring the rest only of highly ranked proposals. For example require  project description,,,,,,,,,,,,
P_226,0,0,1,1,0,Most of the stress actually comes from dealing with my University OSP.  If the proposal submission could be done without involving them,,,,,,,,,,,,
P_227,0,0,1,0,0,One issue is the amount of paperwork that we need to submit to our own office of research on top of the agency requirements. (And often a week or so before deadlines). Seems that it would be better to divorce the proposal and the budget entirely. You propose work in a certain window of budget. If it is likely to get funded then you submit the budget through the Office of Research and then on to the agency. It would allow researchers to concentrate on one task.,1,0,0,0,0,0,0,1,0,,,
P_232,1,0,1,1,0,I have learned to plan far in advance with a small child at home.  What's hard is collaborating with people who do everything last minute.  Also,,,,,,,,,,,,
P_233,0,0,0,0,0,Significant burden coordinating with research development/grant office who coordinate the submission,0,1,0,0,0,0,0,0,0,,,
P_235,0,0,0,0,0,I turn in my proposal documents to my research office a day in advance of them actually submitting the proposal,,,,,,,,,,,,
P_237,0,0,0,0,0,I don't see why deadlines are needed.  With no deadlines,,,,,,,,,,,,
P_238,0,0,1,1,0,I greatly prefer calls that have a pre-proposal or screening stage.  Partly because it spreads out the work a bit over two deadlines,,,,,,,,,,,,
P_241,0,0,1,1,0,Proposal to DoD (including STTRs to the services) are interactive and solicited and are quite different than NSF/NIH/DoE,0,0,0,0,0,0,0,0,0,,,
P_244,1,0,0,0,0,I have been doing proposals for 34 years and learned to start early,,,,,,,,,,,,
P_245,0,0,0,0,0,Most professors I know,,,,,,,,,,,,
P_246,0,0,1,0,0,It's not the deadlines,,,,,,,,,,,,
P_248,1,0,0,0,0,I try to avoid last minute work as too stressful. I'm usually collaborating with others,,,,,,,,,,,,
P_249,1,1,1,1,1,The 5yr + 5yr funding significantly lowers the amount of time and stress associated with obtaining external monies. Also being older and having administered many grants significantly reduces stress.,0,0,0,0,0,0,0,0,0,,,
P_250,0,0,0,0,0,Perhaps ask about proposal team composition,,,,,,,,,,,,
P_251,0,0,1,1,0,Deadlines are needed... it's a question of organization.  Without Deadlines,,,,,,,,,,,,
P_252,0,0,1,1,0,Give awards based on performance over the last 5 years. Do away with the proposals except for career awards.,0,0,0,0,0,0,0,0,0,,,
P_254,1,1,1,1,1,I  tell new faculty that there are no half measures when submitting an NSF proposal. You need to be ALL IN,,,,,,,,,,,,
P_256,0,0,0,0,0,Proposal deadlines during fall and spring semesters have higher impact. Please moving  deadlines to winter break and/or summer break as permitted by financial calendar.,0,0,0,1,0,0,0,1,1,,,
P_259,0,0,1,1,0,Stresses with working with collaborators,0,0,1,0,0,0,0,0,0,,,
P_260,0,0,0,0,0,my NSF section has moved to no deadlines,,,,,,,,,,,,
P_266,1,1,1,0,0,Frankly,,,,,,,,,,,,
P_267,0,0,0,0,0,We've created this weird system where you invest a bunch of energy,,,,,,,,,,,,
P_268,1,0,0,0,0,I put the blame on myself. I should start a grant months in advance.,0,0,0,0,0,0,0,0,0,,,
P_269,1,1,0,0,0,A lot of this varies especially depending on co-investigators.  Some meet deadlines and some do not.  I prefer those that meet the deadlines.,0,0,1,0,0,0,0,0,0,,,
P_270,0,0,0,0,0,Proposal deadlines should be abolished across agencies and open submission should be adopted everywhere possible.    The process is amazingly stressful and has resulted in significant strain on my marriage and health.  I have decreased the number of proposals I write in a year as a result of these negative outcomes.  I've also spent years in marriage counseling,,,,,,,,,,,,
P_271,0,0,0,0,0,herding the cats akka collaborators causes the most stress,0,0,1,0,0,0,0,0,0,,,
P_275,1,1,0,0,0,Since the proposal needs to pass by the office dealing with grant in my University,,,,,,,,,,,,
P_280,0,0,0,0,0,colleagues are insufficiently trained in the science of team science methodologies,0,0,1,0,0,0,0,0,0,,,
P_282,1,1,1,0,0,I prefer a deadline. Even though the week before is busy it helps reduce project creep. ,0,0,0,0,0,1,1,0,0,,,
P_285,1,1,1,1,1,I like the excitement of writing grant proposals because they are so forward looking. Papers are so retro. I don't allow myself too much time (in days) to write a grant proposal because I think it is important to maintain excitement about what I am proposing. If I leave too much time then I. believe that I second guess myself. I don't always get funded the first time around,,,,,,,,,,,,
P_286,1,0,0,0,0,This survey seems primarily aimed at lab scientists. Theoretical work is not well-covered,,,,,,,,,,,,
P_287,0,0,1,0,0,I think there are many other stressful items to complete as part of my job,,,,,,,,,,,,
P_289,0,0,1,1,0,My university has an internal deadline 3 days before the proposal is due,,,,,,,,,,,,
P_290,1,0,0,0,0,Deadlines are also setting a clear window in my calendar to work on proposals and help plan forward for them.     Perhaps more frequent rolling deadlines for large programs,,,,,,,,,,,,
P_291,0,0,0,0,0,Doing away with deadlines altogether as has been done in some NSF programs,,,,,,,,,,,,
P_292,0,0,1,0,0,"(1) Proposals are useful for ""big-picture"" planning of the program. (2) The non-science overhead is enormous and has been increasing exponentially (e.g.",,,,,,,,,,,,
P_297,0,0,1,0,0,To me,,,,,,,,,,,,
P_299,0,0,1,0,0,Proposal deadline is a motivation to drive me to work towards the finish line. However,,,,,,,,,,,,
P_301,0,0,0,0,0,If NSF or another funding agency has an RFA with a deadline,,,,,,,,,,,,
P_303,1,0,1,0,0,Most universities,,,,,,,,,,,,
P_304,1,0,1,0,0,I find proposal deadlines useful,,,,,,,,,,,,
P_305,0,0,0,0,0,rolling deadlines,0,0,0,0,0,0,0,0,1,,,
P_306,0,0,0,0,0,It seems that the nsf due programs I submit to have due dates at the worst times,,,,,,,,,,,,
P_307,1,0,1,0,0,The deadline issue is artificial. It serves as a powerful incentive to get the proposal done. It's part of the package deal of having a sweet life as an academic.,0,0,0,0,0,0,1,0,0,,,
P_311,1,1,1,1,1,A significant aspect of the stress is checking that all of NSF grant preparation guidelines are met. Describing the proposed research is easy,,,,,,,,,,,,
P_312,0,0,1,0,0,have several different windows each year,,,,,,,,,,,,
P_313,0,0,1,1,0,Our institution requires proposals are submitted for internal review five days in advance of the sponsor deadline.  That causes huge stress before the deadline but reduces stress on the due date.,0,1,0,0,0,0,0,0,0,,,
P_315,1,0,0,0,0,I'd be interested in the positive elements of deadlines .. i.e. dedicating time and constraints which might allow finishing..,0,0,0,0,0,1,0,0,0,,,
P_317,0,0,1,0,0,I have excellent staff support for preparing and submitting.  This greatly lowers my stress level.,0,0,0,0,0,0,0,0,0,,,
P_318,0,0,0,0,0,The proposal must be finished and sent to sponsored research 3-5 days before the agency deadline - so there are really two deadlines to consider. ,0,1,0,0,0,0,0,0,0,,,
P_323,0,0,1,1,0,NSF is the worst agency to write proposals for (no experience with NIH). The NSF system is very rigid,,,,,,,,,,,,
P_324,0,0,1,1,0,It's incredibly frustrating to spend so much time on something that has so little chance of success. The constant need to chase after the next grant to support myself or my students take significant time away from publishing additional articles on past grants,,,,,,,,,,,," instead of when they're due. "";1;0;0;0;1;0;0;1;1;;"
P_325,0,0,1,0,0,Deadlines help me limit the time I work on proposals and help me get things done. Although I work to deadlines,,,,,,,,,,,,
P_326,1,0,0,0,0,function better than usual for the most part,0,0,0,0,0,1,0,0,0,,,
P_329,1,1,1,1,1,Applying for funding does have some enjoyable aspects.,0,0,0,0,0,1,0,0,0,,,
P_330,0,0,0,0,0,I do not like doing things last minute,,,,,,,,,,,,
P_333,0,0,1,1,0,Collaborators are not respectful of my family obligations and expect that I can drop everything at the last minute to accommodate the proposal's needs.,0,0,1,0,0,0,0,0,0,,,
P_334,1,0,0,0,0,Deadlines are a regular part of academic life. If they are stressful,,,,,,,,,,,,
P_340,0,0,0,0,0,The deadlines help to plan,,,,,,,,,,,,
P_344,0,0,0,0,0,The answers I've provided are regarding a typical proposal submission process. But not all the submissions are typical. Sometimes things go wrong,,,,,,,,,,,,
P_346,0,0,1,1,0,Mentoring and production of manuscripts are also dramatically affected by deadlines.,0,0,0,1,0,0,0,0,0,,,
P_348,0,0,1,1,0,NSF,,,,,,,,,,,,
P_351,1,1,1,1,1,My university has internal deadlines significantly earlier (weeks earlier) than the proposal deadlines. This moves the time required much earlier. The stress closer to the deadline comes from determining whether my research administration has correctly submitted everything.,0,1,0,0,0,0,0,0,0,,,
P_352,0,0,0,0,0,Having a process for year round submission at any time would significantly ease the stress,0,0,0,0,0,0,0,0,1,,,
P_355,0,0,0,0,0,The new rolling proposal deadlines are great.,0,0,0,0,0,0,0,0,1,,,
P_356,0,0,0,0,0,Each proposal takes months and years to develop,,,,,,,,,,,,
P_357,0,0,1,0,0,I prefer to get things done early and my co-PIs are often deadline oriented and it really stresses me out to deal with how late their stuff comes in!,0,0,1,0,0,0,0,0,0,,,
P_359,0,0,1,1,0,I love the new flexible deadlines that NSF has for many of its programs. But many of the other programs still have deadlines,,,,,,,,,,,,
P_361,1,1,1,1,1,Often the time compression is related to how much time the solicitation allows for proposal submission.  Frequently,,,,,,,,,,,,
P_362,0,0,1,0,0,It is a personal choice on how one resonds to deadlines.,0,0,0,0,0,0,0,0,0,,,
P_366,0,0,1,0,0,As stressful as deadlines are,,,,,,,,,,,,
P_367,0,0,0,0,0,Most universities want the proposal ready sooner so that they can submit on time.,0,0,0,0,0,0,0,0,0,,,
P_370,0,0,1,0,0,I never have enough time. Teaching is time sink that holds me back.,0,0,0,1,0,0,0,0,0,,,
P_372,0,0,0,0,0,Having deadlines can help with accountability but most of the stress comes from making sure that my university's grants office can get their tasks completed on time. Especially during the pandemic,,,,,,,,,,,,
P_376,0,0,1,0,0,The stress of deadlines drives me to submissions which do not have deadlines. The quality of the proposals is also higher. But the stress in this case lingers.,0,0,0,0,0,0,0,0,1,,,
P_377,1,1,1,1,1,None  ,0,0,0,0,0,0,0,0,0,,,
P_384,0,0,0,0,0,The questions don't really make sense in my case. I don't think the questionnaire was thought through well.,0,0,0,0,0,0,0,0,0,,,
P_391,1,0,0,0,0,Deadlines are very useful.,0,0,0,0,0,0,1,0,0,,,
P_394,0,0,1,0,0,Day of submission is typically waiting for final approvals,,,,,,,,,,,,
P_398,1,1,1,0,0,I just wish that the deadlines could be chosen to avoid convergence with intense academic periods. ,0,0,0,1,0,0,0,0,1,,,
P_402,0,0,0,0,0,Grant offices submit our proposals,,,,,,,,,,,,
