"FR","Gender","Departmnet","Record_id","State","S_D_E","RO_F_EG","Deadline_today","Workload_today","Workplace","RS","TW_W_H","TW_Research","Break","Email","funding_proposal","NP","FA","Success","Com_Proposal","L_Of_SR","W_WB_PD","T","DS","refereed_conference","A_N_Conf_Pap","core_rank","if_you_submit_manuscripts","far_in_advance_do_you","length_of_supp","in_the_week_leading_to_a_c","you_typically_subm","ss_level_in_a_fundi","Comments"
"Professor","Male","Biology",151,"South","Three months","Fully funded","No","Light","Home","RS1","40-50",70,"Other","Reply instantly","Yes","NP1","NSF","30-50%","> 2 months","6-12 months","About the same","T2","About the same","No","","","","","","",NA,NA,"I always have proposals ready weeks in advance, precisely to avoid the type of stress that I see in my colleagues as they prepare proposals.  I don't understand why they wait until the last minute."
"Associate Professor","Male","Chemistry",152,"South","Three months","25-50%","No","Standard","Office","RS2","40-50",60,"Every 3-4 hours","Reply instantly","Yes","NP3","NSF","< 10%","> 2 months","6-12 months","Significantly more","T2","More","No","","","","","","",NA,NA,"Over the arc of my career, I have moved my work earlier and had less stressful submission days. Still, a non-responsive grants administrator, or a failing document/computer issue can cause calamity. I once had to fully rebuild a reference section 50 minutes before the deadline. . . this past year, I have had many more peaceful submission days."
"Professor","Male","Engineering",155,"South","Three months","Fully funded","No","Standard","Home","RS2","40-50",40,"Every 1-2 hours","Reply instantly","Yes","NP2","NSF","75-90%","> 2 months","< 1 month","Significantly more","T1","Less","Yes","3-4","B","> 90%","> 2 months","< 1 month","More","2 or more days before","About the same","Programmatic deadlines are rigid  even when the government shots down.  The wait for the review process is too long."
"Associate Professor","Male","Biology",156,"West","Three months","1-25%","No","Heavy","Office","RS1","> 50",50,"Every 3-4 hours","Reply instantly","Yes","NP1","NSF","< 10%","> 2 months","1-3 months","More","T2","More","No","","","","","","",NA,NA,"NSF's no-deadline system is great"
"Professor","Female","Computer Science",158,"Midwest","Three months","25-50%","No","Standard","Home","RS2","40-50",30,"Every 1-2 hours","Reply Once/Twice","Yes","NP1","NSF","30-50%","> 2 months","3-6 months","More","T1","More","Yes","3-4","B","50-75%","2-4 weeks","6-12 months","Significantly more","1-3 hours before","More","I have been a faculty member for over 20 years.  I don't write very many proposals, but the ones I do write, I try to make them winners.  This requires getting started early (months ahead) and not leaving things for the last minute.  There are many times I've decided not to submit a proposal rather than try to rush it.  Annual deadlines make this an expensive choice, and I was very unhappy when my directorate at NSF moved from 2 submission opportunities/year to just 1.  Fortunately I have tenure, it's always possible to get 1-2 students who are funded via TAs or outside employment, and my job security doesn't depend on bringing in grant funding, so proposal-writing is not a major stressor in my life."
"Associate Professor","Male","Mathematics",159,"South","Three months","Not funded","No","Standard","Home","RS2","30-40",30,"Every 1-2 hours","Reply instantly","Yes","NP1","NSF","< 10%","> 2 months","1-3 months","Significantly more","T1","Significantly more","No","","","","","","",NA,NA,""
"Professor","Male","Engineering",160,"South","Three months","25-50%","No","Light","Home","RS1","> 50",40,"Every 1-2 hours","Reply Once/Twice","Yes","NP2","NSF","< 10%","1-2 months","1-3 months","Significantly more","T2","Significantly more","Yes","1-2","B","75-90%","1-2 months","> 12 months","Significantly more","1 day before","More",""
"Assistant Professor","Male","Physics",162,"West","Three months","Fully funded","No","Heavy","Home","RS2","> 50",70,"Every 1-2 hours","Reply instantly","Yes","NP2","NSF","10-20%","> 2 months","6-12 months","Significantly more","T2","Significantly more","No","","","","","","",NA,NA,""
"Professor","Female","Biology",163,"West","Three months","1-25%","Yes","Heavy","Home","RS1","40-50",50,"Every 1-2 hours","Reply instantly","Yes","NP2","NSF","10-20%","> 2 months","> 12 months","Significantly more","T2","About the same","No","","","","","","",NA,NA,""
"Professor","Male","Engineering",164,"West","Three months","75-100%","No","Standard","Home","RS2","> 50",80,"Every 3-4 hours","Reply instantly","Yes","NP2","NSF","50-75%","1-2 months","1-3 months","About the same","T2","About the same","Yes","3-4","A","> 90%","> 2 months","6-12 months","About the same","2 or more days before","About the same","I cannot tolerate last minute changes.  If you plan the work, there is no need to stress at the last moment.  I do not work with last minute people."
"Assistant Professor","Male","Biology",166,"West","Three months","50-75%","Yes","Heavy","Home","RS2","> 50",50,"Every 1-2 hours","Reply Once/Twice","Yes","NP3","NSF","< 10%","> 2 months","> 12 months","Significantly more","T2","About the same","No","","","","","","",NA,NA,"I think all researchers meeting some simple fixed criteria should get a base level of funding to ensure productivity can remain high without losing time to large numbers of grant deadlines."
"Assistant Professor","Male","Engineering",167,"West","Three months","Fully funded","Yes","Standard","Office","RS1","> 50",30,"Every 1-2 hours","Reply instantly","Yes","NP2","NSF","10-20%","1-2 weeks","< 1 month","More","T1","More","Yes","5-6","A","20-30%","2-4 weeks","3-6 months","Significantly more","1-3 hours before","More","Not only do proposal deadlines give me more stress, but they lead to a majority of terrible proposals that I would have likely waited to submit (or not submitted at all). It is a lot of extra work for panelists and for me, but if I do not hit the proposal deadlines, I am viewed as deadweight by my academic unit. So I (and many around me) submit because that is what we are told we should do to maintain the prestige of the university.    I am an interdisciplinary researcher, and the projects I work on that are funded by divisions of NSF without proposals mature to a point where I am ready to ask for funding. At that point, I submit without being hassled by the research advancement staff. I might submit less proposals because of the less pressure, but I get more good work done.    On the other hand, if I'm awarded one of the worse proposals that I submit just because there is a deadline and I am expected to submit, then it is unlikely I will use the awarded funds for exactly what I proposed. So it is basically just institutionalized gambling - a bad proposal goes in, may get lucky enough to get funded, and then the funding agency is going to be lucky if the work that is completed has anything to do with the original proposal.    As a side note, the NSF CAREER needs to be abolished. It is a poor model for all other kinds of proposals someone will submit later in their career. Single-investigator grants (and papers) are so archaic. The CAREER process is not much worse than a normal grant, and so why not just devote the effort to a normal proposal (perhaps without the arbitrary deadline)? Furthermore, no other proposal requires silly things like letters of support from the department. These departmental letters are form letters that basically just advertise the standard concessions that a department gives its tenure-track faculty (which do not vary much across universities anyway). Why force a faculty member to jump through these extra hoops? If you really care about fostering leadership, then find a way for young investigators to lead multi-investigator grants and get help from more senior investigators who sign on as Co-I. The opportunity cost (in terms of time and money) of the CAREER program is far too high to justify it continue its existence. NSF got rid of the DDIG, which it should have kept, and kept the CAREER, which it should have gotten rid of."
"Assistant Professor","Male","Computer Science",168,"West","Three months","1-25%","No","Standard","Office","RS2","40-50",50,"Every 3-4 hours","Reply Once/Twice","Yes","NP3","NSF","< 10%","2-4 weeks","3-6 months","Significantly more","T1","More","Yes","7-9","A","30-50%","2-4 weeks","6-12 months","Significantly more","Minutes before","More",""
"Professor","Male","Engineering",169,"West","Three months","Fully funded","No","Standard","Home","RS1","40-50",30,"Every 3-4 hours","Reply instantly","Yes","NP2","NSF","20-30%","> 2 months","6-12 months","More","T2","More","Yes","3-4","C","50-75%","> 2 months","6-12 months","About the same","1 day before","About the same",""
"Professor","Male","Engineering",170,"West","Other","75-100%","Yes","Heavy","Other","RS2","> 50",40,"Other","Reply Once/Twice","Yes","NP3","DOE","10-20%","> 2 months","3-6 months","Significantly more","T2","Significantly more","Yes","3-4","A*","> 90%","> 2 months","3-6 months","About the same","2 or more days before","About the same",""
"Professor","Male","Engineering",172,"West","Three months","Fully funded","Yes","Heavy","Home","RS2","> 50",10,"Every 3-4 hours","Reply instantly","Yes","NP2","DOD","20-30%","2-4 weeks","< 1 month","Significantly more","T1","Significantly more","Yes","3-4","A","75-90%","< 1 week","> 12 months","Significantly more","1-3 hours before","Significantly more",""
"Professor","Male","Chemistry",173,"West","Three months","Fully funded","Yes","Heavy","Office","RS1","> 50",50,"Every hour","Reply instantly","Yes","NP3","NSF","10-20%","> 2 months","> 12 months","Significantly more","T1","More","No","","","","","","",NA,NA,""
"Professor","Female","Geosciences",174,"West","Three months","75-100%","Yes","Heavy","Office","RS2","> 50",50,"Every 3-4 hours","Reply Once/Twice","Yes","NP1","NSF","30-50%","> 2 months","> 12 months","Significantly more","T1","More","No","","","","","","",NA,NA,"Deadlines are easier for me to handle when I am the only PI. It stresses me far less, because I can work on my own pace. The moment I have Co-PI's it gets more chaotic, because I depend on the input from others, which I can't so easily control.    I submit proposals to two different NSF programs. One has deadlines, the other has no deadlines. At the program with deadlines I never got a proposal funded the first time. The other program (without deadline) funded my proposal after the first submission. This is not statistically solid, but I felt I submitted a much better prepared proposal when I had no deadline, because I waited until I found it was perfect."
"Assistant Professor","Male","Engineering",175,"West","Three months","50-75%","Yes","Heavy","Office","RS2","40-50",80,"Every 1-2 hours","Reply instantly","Yes","NP3","DOE","< 10%","1-2 months","3-6 months","Significantly more","T2","Less","No","","","","","","",NA,NA,"The deadlines are less impactful compared to the shear number of proposals one has to submit.  In this respect, maybe providing much more time between FOA and deadline would help researchers manage deadlines more effectively."
"Professor","Male","Physics",176,"West","Three months","75-100%","No","Standard","Home","RS1","30-40",30,"Every 1-2 hours","Reply Once/Twice","Yes","NP1","NSF","20-30%","1-2 months","1-3 months","About the same","T2","About the same","No","","","","","","",NA,NA,"It is more stressful on the days when I expect an answer to the proposal!"
"Professor","Male","Computer Science",177,"Midwest","Three months","75-100%","Yes","Heavy","Office","RS1","> 50",30,"Every 1-2 hours","Reply instantly","Yes","NP3","NSF","< 10%","2-4 weeks","3-6 months","Significantly more","T1","Significantly more","Yes",">= 10","A*","20-30%","1-2 months","3-6 months","Significantly more","Minutes before","Significantly more",""
"Professor","Male","Medicine",178,"Midwest","Other","Fully funded","Yes","Heavy","Office","RS1","> 50",90,"Other","Reply Once/Twice","Yes","NP3","NIH","20-30%","> 2 months","> 12 months","About the same","T2","About the same","No","","","","","","",NA,NA,"I prepare grants and submit them about six weeks before due "
"Associate Professor","Male","Physics",179,"Midwest","Three months","50-75%","No","Standard","Home","RS2","40-50",40,"Every 1-2 hours","Reply instantly","Yes","NP1","NSF","20-30%","2-4 weeks","> 12 months","Significantly more","T1","More","No","","","","","","",NA,NA,""
"Professor","Male","Biology",180,"Midwest","Three months","25-50%","No","Standard","Office","RS2","40-50",40,"Every 3-4 hours","Reply instantly","Yes","NP2","NSF","10-20%","> 2 months","> 12 months","More","T2","More","No","","","","","","",NA,NA,"It's all about planning.  I have a child with special needs.  I simply can't afford to do things at the last minute anymore because life is too unpredictable.  BUT convincing my collaborators to do things early is the biggest issue and stress..."
"Professor","Female","Biology",181,"Midwest","Three months","75-100%","No","Standard","Other","RS1","> 50",20,"Every 1-2 hours","Reply instantly","Yes","NP1","NIH","20-30%","1-2 months","6-12 months","Significantly more","T1","Significantly more","No","","","","","","",NA,NA,""
"Associate Professor","Male","Engineering",182,"Midwest","Three months","75-100%","Yes","Heavy","Office","RS2","> 50",20,"Every 3-4 hours","Reply instantly","Yes","NP3","DOD","50-75%","2-4 weeks","1-3 months","Significantly more","T1","Significantly more","Yes","3-4","A","30-50%","2-4 weeks","> 12 months","About the same","1 day before","About the same",""
"Assistant Professor","Male","Chemistry",183,"Midwest","Three months","50-75%","Yes","Standard","Office","RS2","> 50",50,"Every hour","Reply instantly","Yes","NP2","NSF","< 10%","2-4 weeks","1-3 months","More","T2","About the same","No","","","","","","",NA,NA,""
"Assistant Professor","Male","Engineering",184,"Midwest","Two months","Fully funded","Yes","Heavy","Other","RS1","> 50",40,"Every 3-4 hours","Reply instantly","Yes","NP2","DOE","20-30%","1-2 months","1-3 months","Significantly more","T1","Significantly more","Yes","1-2","A*","> 90%","1-2 weeks","< 1 month","More","1-3 hours before","More",""
"Professor","Male","Physics",185,"Midwest","Two months","75-100%","No","Standard","Home","RS1","30-40",50,"Every 1-2 hours","Reply instantly","Yes","NP1","DOE","> 90%","2-4 weeks","> 12 months","About the same","T2","About the same","No","","","","","","",NA,NA,""
"Associate Professor","Male","Chemistry",187,"Midwest","Three months","1-25%","Yes","Heavy","Office","RS2","> 50",30,"Every 1-2 hours","Reply instantly","Yes","NP3","NSF","< 10%","1-2 months","> 12 months","Significantly more","T2","More","No","","","","","","",NA,NA,"The NSF is LYING about funding rates- the % success rate is likely 5% or less. I have already found that women win NSF grants at a rate 3X compared to men in our dept. The reviews are not based on the grants, rather personal relationships. You should research impact on health when reviews come back full of ad hominems."
"Professor","Male","Engineering",188,"Midwest","Three months","75-100%","No","Standard","Office","RS2","40-50",50,"Every 1-2 hours","Reply Once/Twice","Yes","NP3","NSF","20-30%","1-2 months","1-3 months","Significantly more","T1","More","Yes","1-2","A*","> 90%","2-4 weeks","1-3 months","About the same","1 day before","About the same","Rolling submission deadlines are less disruptive or stress inducting than fixed date deadlines"
"Professor","Female","Geosciences",189,"Midwest","Three months","75-100%","No","Heavy","Home","RS1","40-50",30,"Every 3-4 hours","Reply Once/Twice","Yes","NP1","NSF","30-50%","> 2 months","1-3 months","Significantly more","T2","More","No","","","","","","",NA,NA,""
"Professor","Male","Chemistry",190,"Midwest","Three months","Fully funded","Yes","Standard","Office","RS1","> 50",60,"Every 3-4 hours","Reply instantly","Yes","NP2","NSF","50-75%","1-2 months","1-3 months","About the same","T2","Less","No","","","","","","",NA,NA,""
"Associate Professor","Male","Mathematics",192,"Midwest","Three months","50-75%","No","Light","Office","RS2","30-40",40,"Every 1-2 hours","Reply instantly","Yes","NP2","NSF","20-30%","1-2 months","3-6 months","About the same","T2","About the same","Yes","3-4","A*","30-50%","> 2 months","> 12 months","About the same","3-6 hours before","About the same","Ever since graduate school, I've been taught not to rush for deadlines, and I try hard not to submit anything (including proposals) that are left to the last minute."
"Professor","Male","Engineering",193,"Midwest","Three months","75-100%","Yes","Standard","Office","RS1","> 50",30,"Every 1-2 hours","Reply instantly","Yes","NP2","NSF","< 10%","2-4 weeks","3-6 months","Significantly more","T1","More","Yes","3-4","B","50-75%","2-4 weeks","6-12 months","More","1-3 hours before","More",""
"Assistant Professor","Male","Computer Science",196,"Midwest","Three months","50-75%","Yes","Heavy","Home","RS2","> 50",40,"Every 1-2 hours","Reply Once/Twice","Yes","NP1","NSF","20-30%","1-2 months","3-6 months","Significantly more","T1","Significantly more","Yes","5-6","A*","30-50%","2-4 weeks","> 12 months","Significantly more","1-3 hours before","Significantly more",""
"Professor","Female","Biology",197,"Midwest","Two months","1-25%","Yes","Standard","Office","RS2","30-40",30,"Every 1-2 hours","Reply Once/Twice","Yes","NP1","NSF","< 10%","1-2 months","3-6 months","More","T2","More","No","","","","","","",NA,NA,""
"Professor","Female","Computer Science",198,"Midwest","Three months","50-75%","No","Standard","Other","RS1","30-40",30,"Every hour","Reply instantly","Yes","NP2","NSF","10-20%","2-4 weeks","6-12 months","Significantly more","T1","More","Yes","5-6","A","20-30%","2-4 weeks","6-12 months","About the same","Minutes before","About the same","The day the proposal is due is not the worst, that's the end. The worst are the 2-3 preceding the deadline. If feels like there's a mountain to climb"
"Professor","Female","Engineering",200,"Midwest","Three months","50-75%","No","Standard","Office","RS1","40-50",40,"Every 1-2 hours","Reply Once/Twice","Yes","NP3","NSF","30-50%","1-2 months","> 12 months","Significantly more","T2","Less","No","","","","","","",NA,NA,"Rolling deadlines is better for stress, but I am less likely to get them done that way."
"Professor","Male","Chemistry",201,"East","Three months","75-100%","No","Standard","Office","RS2","40-50",60,"Every 3-4 hours","Reply Once/Twice","Yes","NP1","NASA","30-50%","1-2 months","3-6 months","Significantly more","T1","Significantly more","No","","","","","","",NA,NA,""
"Professor","Male","Chemistry",203,"Midwest","Three months","75-100%","No","Standard","Office","RS2","40-50",40,"Every 1-2 hours","Reply instantly","Yes","NP2","NSF","20-30%","1-2 months","6-12 months","Significantly more","T2","Significantly more","No","","","","","","",NA,NA,"Years ago, NSF didn't have fixed deadlines. The imposition of deadlines is for the benefit of the agencies, not the PIs. A significant amount of stress occurs in getting the budgets worked out in detail. And yet I've noticed most PIs in my NSF program get about the same amount. Besides, we have almost complete freedom to move money from one budget category to another. I think proposal budgets could be greatly simplified."
"Associate Professor","Male","Psychology",205,"East","Three months","25-50%","No","Standard","Office","RS2","> 50",40,"Every 3-4 hours","Reply instantly","Yes","NP1","NIH","10-20%","> 2 months","3-6 months","More","T2","About the same","No","","","","","","",NA,NA,""
"Professor","Male","Engineering",206,"Midwest","Three months","25-50%","Yes","Standard","Office","RS2","40-50",50,"Every 1-2 hours","Reply Once/Twice","Yes","NP3","NSF","10-20%","> 2 months","1-3 months","More","T1","Significantly more","Yes","1-2","A*","> 90%","2-4 weeks","1-3 months","About the same","1 day before","About the same","longer open period of submission (say 3 months-long) twice a year"
"Assistant Professor","Female","Engineering",209,"East","Three months","Fully funded","No","Standard","Office","RS1","30-40",30,"Every 1-2 hours","Reply instantly","Yes","NP2","DOD","20-30%","1-2 months","1-3 months","About the same","T1","More","Yes","3-4","A*","30-50%","1-2 months","6-12 months","Significantly less","1-3 hours before","More",""
"Professor","Male","Mathematics",210,"East","Three months","50-75%","Yes","Heavy","Office","RS2","> 50",20,"Every 3-4 hours","Reply instantly","Yes","NP2","NSF","20-30%","1-2 months","> 12 months","Significantly more","T2","More","No","","","","","","",NA,NA,""
"Professor","Female","Biology",211,"East","Three months","Fully funded","No","Standard","Home","RS1","40-50",30,"Every 1-2 hours","Reply instantly","Yes","NP2","NSF","< 10%","> 2 months","6-12 months","Significantly more","T1","Significantly more","No","","","","","","",NA,NA,"i like proposal deadlines - it forces us to get organized.  my biggest issue is the slow response by my campus grants offices - i would not be submitting last minute but for them. i would like to see reduced paperwork/compliance/bureaocracy in the filing of the proposal - "
"Associate Professor","Male","Engineering",212,"East","Three months","75-100%","No","Standard","Home","RS2","40-50",40,"Every 3-4 hours","Reply instantly","Yes","NP3","NSF","10-20%","1-2 months","6-12 months","More","T1","More","No","","","","","","",NA,NA,""
"Professor","Male","Physics",215,"East","Other","Fully funded","Yes","Standard","Office","RS2","> 50",30,"Every 3-4 hours","Reply Once/Twice","Yes","NP1","DOD","20-30%","> 2 months","> 12 months","More","T2","About the same","Yes","1-2","A","> 90%","> 2 months","> 12 months","Significantly more","1 day before","About the same","Impossible to prepare some proposals due to short deadlines and too many teaching or administrative commitments during some months of the year"
"Assistant Professor","Male","Engineering",216,"East","Three months","Fully funded","No","Standard","Office","RS1","> 50",70,"Every 1-2 hours","Reply instantly","Yes","NP3","NIH","30-50%","1-2 months","3-6 months","About the same","T2","About the same","No","","","","","","",NA,NA,""
"Professor","Male","Computer Science",218,"Midwest","Three months","50-75%","Yes","Standard","Home","RS2","> 50",60,"Every 1-2 hours","Reply Once/Twice","Yes","NP1","NSF","10-20%","> 2 months","1-3 months","More","T1","About the same","Yes","1-2","A*","50-75%","> 2 months","6-12 months","More","3-6 hours before","About the same",""
"Professor","Male","Physics",219,"East","Three months","Fully funded","No","Standard","Office","RS2","40-50",60,"Every 3-4 hours","Reply instantly","Yes","NP1","NSF","50-75%","2-4 weeks","< 1 month","Significantly more","T1","More","No","","","","","","",NA,NA,"I just can't seem to avoid pulling an all-nighter just before the proposal deadline.  I have too many other obligations (research, teaching, family) to get an early enough start, it seems.  And I am never satisfied that I have done my best on the proposal when the deadline comes."
