"Rank","Mental","Physical","Temporal","Performance","Effort","Frustration","NASA","Trait","Extraversion","Agreeableness","Conscientiousness","Neuroticism","Openness","Avoidance","Emotion","Task"
"Assistant Professor",2,1,1,7,1,4,16,43,5,9,9,6,7,18,21,32
"Professor",4,1,6,3,4,5,23,48,3,9,8,5,8,16,15,26
"Professor",6,2,4,4,5,5,26,52,5,8,10,4,10,18,19,27
"Professor",7,6,7,7,3,6,36,51,2,10,9,6,10,13,24,35
"Associate Professor",4,1,2,5,4,3,19,45,5,7,9,8,6,17,26,27
"Professor",4,2,3,5,4,2,20,36,8,7,9,4,7,19,14,32
"Professor",4,1,4,5,5,3,22,48,10,8,9,6,5,19,19,28
"Associate Professor",5,3,6,4,6,4,28,48,6,7,8,8,7,15,22,21
"Assistant Professor",4,2,4,3,3,4,20,57,4,5,7,8,6,19,23,23
"Assistant Professor",5,2,5,3,5,6,26,58,5,6,7,7,6,19,21,22
"Professor",3,1,3,3,3,2,15,29,4,7,9,5,9,25,14,27
"Associate Professor",7,5,5,5,7,7,36,70,7,7,10,8,9,15,28,27
"Professor",5,4,4,5,5,2,25,37,4,8,10,9,5,18,20,34
"Professor",4,3,3,6,5,1,22,24,9,10,10,4,6,23,10,32
"Professor",3,3,3,3,3,3,18,43,6,9,10,7,9,23,26,30
"Associate Professor",3,1,2,3,3,2,14,38,9,7,6,5,8,17,21,21
"Professor",4,1,3,3,4,2,17,34,4,9,8,3,5,15,15,25
"Assistant Professor",6,6,6,6,6,6,36,47,8,9,9,8,9,21,21,21
"Professor",3,1,2,3,4,4,17,42,6,7,9,4,8,19,25,27
"Professor",5,4,5,5,4,2,25,33,7,9,9,6,9,28,18,21
"Professor",3,3,1,6,4,2,19,29,9,6,10,4,9,31,16,33
"Professor",4,5,5,5,5,4,28,48,7,6,9,7,10,16,18,19
"Professor",6,1,4,3,3,6,23,43,3,6,7,8,6,12,23,27
"Associate Professor",5,2,1,5,5,4,22,38,5,9,9,3,6,23,14,32
"Professor",4,5,4,4,4,3,24,43,9,5,10,6,5,22,21,26
"Assistant Professor",3,1,1,3,5,2,15,28,6,5,5,3,5,24,7,26
"Professor",4,1,1,7,5,1,19,33,8,10,10,4,6,20,9,33
"Professor",4,1,1,3,3,2,14,49,3,4,10,8,8,9,10,28
"Associate Professor",4,1,4,6,5,2,22,25,2,6,10,5,8,12,11,32
"Professor",3,1,4,4,3,5,20,38,3,7,10,4,8,16,22,29
"Assistant Professor",2,1,1,6,2,1,13,34,10,7,9,5,10,9,18,30
"Professor",4,4,2,5,3,1,19,47,4,10,8,7,7,14,21,25
"Professor",3,2,2,4,3,2,16,36,4,9,9,6,4,16,16,31
"Professor",5,2,2,4,5,2,20,41,4,7,8,4,9,19,19,29
"Assistant Professor",5,1,1,2,3,3,15,30,5,7,8,2,5,22,14,28
"Associate Professor",4,1,3,3,5,6,22,39,8,9,10,3,7,26,15,31
"Associate Professor",7,1,7,2,7,7,31,59,2,5,6,6,5,16,30,16
"Professor",5,1,1,7,5,2,21,37,6,6,9,6,6,15,9,33
"Professor",6,3,4,6,6,4,29,45,6,9,9,8,7,17,22,34
"Professor",4,4,4,4,4,4,24,49,6,6,7,8,7,22,27,26
"Associate Professor",2,1,1,2,2,1,9,37,4,8,5,4,6,14,14,26
"Associate Professor",5,2,6,3,5,7,28,56,8,6,7,10,9,26,31,27
"Assistant Professor",5,4,2,2,6,7,26,55,2,4,10,7,10,10,13,31
"Associate Professor",6,1,6,3,4,3,23,38,7,8,8,5,10,24,20,30
"Assistant Professor",6,1,4,4,5,4,24,45,6,9,6,6,6,24,13,26
"Professor",5,5,3,3,5,3,24,32,5,10,10,7,5,25,10,31
"Assistant Professor",7,3,7,5,6,5,33,43,8,10,4,6,9,26,25,25
"Professor",4,5,4,6,5,2,26,31,2,6,8,3,8,17,12,30
"Professor",4,2,2,3,3,3,17,39,8,7,9,6,7,26,21,27
"Associate Professor",4,1,1,6,6,2,20,26,7,8,10,3,10,10,15,34
"Associate Professor",3,2,1,4,4,5,19,60,4,8,7,10,8,24,31,17
"Associate Professor",5,4,4,5,4,4,26,42,8,7,6,6,7,24,17,23
"Associate Professor",4,2,4,4,5,3,22,28,3,4,10,3,8,17,10,30
"Professor",5,2,6,2,7,7,29,37,10,7,9,8,8,24,22,28
"Associate Professor",5,2,4,4,5,6,26,55,6,6,6,6,6,21,21,21
"Associate Professor",5,1,3,4,5,4,22,45,5,4,10,6,5,14,16,21
"Assistant Professor",5,4,5,5,5,6,30,49,6,7,7,7,6,19,22,26
"Assistant Professor",3,1,3,4,4,3,18,41,5,7,10,4,7,15,11,32
"Associate Professor",5,2,3,5,5,2,22,52,8,6,6,8,8,15,26,27
"Associate Professor",5,1,7,3,5,5,26,24,4,8,10,2,6,19,8,33
"Professor",4,2,6,4,5,5,26,45,9,7,8,4,5,25,24,27
"Professor",6,5,3,4,5,3,26,45,3,7,8,4,8,17,9,29
"Associate Professor",5,1,6,7,5,4,28,34,2,6,7,4,6,11,15,33
"Associate Professor",5,2,4,5,5,4,25,52,6,8,8,7,8,17,26,26
"Associate Professor",5,1,3,6,3,2,20,50,6,5,10,7,10,25,22,30
"Assistant Professor",5,1,5,3,6,5,25,50,5,7,7,7,10,29,18,27
"Assistant Professor",4,2,1,5,6,5,23,62,5,9,10,8,5,15,28,31
"Professor",4,2,1,3,3,5,18,66,10,4,10,10,9,20,28,22
"Associate Professor",5,2,3,5,5,2,22,61,6,6,7,9,9,27,29,29
"Assistant Professor",7,1,2,5,7,6,28,41,8,9,9,8,8,11,21,35
"Professor",4,1,3,3,5,5,21,46,3,7,9,6,10,17,16,26
"Assistant Professor",4,1,2,3,4,4,18,42,5,5,9,5,7,13,15,28
"Professor",3,2,2,6,3,1,17,34,8,5,9,4,8,19,17,31
"Professor",3,2,3,3,3,6,20,56,10,6,9,6,9,15,18,30
"Assistant Professor",6,1,3,5,6,4,25,36,3,8,6,5,6,25,10,24
"Professor",6,2,4,5,5,2,24,37,5,5,9,6,10,19,16,30
"Assistant Professor",5,5,6,7,4,4,31,33,9,6,10,6,9,26,11,32
"Professor",5,1,2,5,4,1,18,30,7,8,7,6,7,28,20,31
"Associate Professor",5,2,3,3,5,5,23,48,9,3,8,9,6,14,30,29
"Assistant Professor",4,2,2,4,6,6,24,41,10,10,10,4,6,19,14,30
"Associate Professor",5,1,2,6,4,1,19,22,7,9,9,2,10,16,11,30
"Professor",6,1,4,3,5,4,23,30,4,10,10,3,7,17,14,16
"Associate Professor",5,2,4,6,5,2,24,42,7,8,6,4,6,25,12,32
"Professor",6,1,4,3,6,5,25,34,9,8,10,3,6,24,18,26
"Professor",4,2,4,4,4,4,22,45,2,7,5,4,6,15,20,22
"Professor",4,1,1,5,5,1,17,34,10,7,9,4,10,27,10,30
"Assistant Professor",5,2,5,4,7,6,29,58,4,7,10,7,6,22,23,29
"Professor",2,1,1,6,2,2,14,29,4,9,6,3,7,12,10,31
"Associate Professor",6,3,4,2,5,6,26,62,2,9,8,9,10,17,32,29
"Associate Professor",6,2,5,5,7,6,31,31,10,8,7,7,6,21,20,32
"Associate Professor",2,1,1,5,4,2,15,30,7,10,5,5,7,20,14,29
"Associate Professor",6,1,5,4,4,5,25,47,5,5,9,8,8,17,14,27
"Associate Professor",3,2,3,5,5,5,23,30,6,9,8,3,9,18,16,33
"Professor",4,2,2,6,4,1,19,26,5,9,6,4,6,9,9,28
"Associate Professor",2,1,2,2,2,2,11,29,7,6,9,3,6,14,15,32
"Associate Professor",5,5,3,4,5,5,27,48,5,5,6,9,9,20,24,23
"Professor",4,4,4,3,4,2,21,46,4,7,10,5,8,19,19,26
"Assistant Professor",6,1,7,5,7,6,32,55,5,7,10,8,8,18,27,25
"Associate Professor",5,3,4,4,4,2,22,46,3,9,7,6,6,25,17,24
"Assistant Professor",3,1,5,6,5,2,22,43,4,10,8,5,8,16,24,28
"Professor",4,2,2,4,3,2,17,34,7,7,10,3,10,24,15,32
"Associate Professor",5,5,7,5,5,5,32,49,4,5,5,6,7,16,28,27
"Professor",4,1,3,7,4,1,20,25,10,10,9,5,8,23,7,33
"Assistant Professor",3,2,4,3,4,5,21,51,4,7,6,8,4,24,23,22
"Professor",2,1,1,4,3,2,13,31,8,9,6,2,10,15,10,29
"Professor",2,2,2,3,3,3,15,40,5,7,8,5,7,20,17,30
"Associate Professor",2,2,4,2,5,5,20,29,4,7,10,6,7,16,10,28
"Assistant Professor",1,1,1,1,1,1,6,37,2,5,8,4,6,18,16,25
"Associate Professor",6,1,6,5,7,6,31,27,9,10,10,4,10,31,11,35
"Professor",3,1,1,3,2,1,11,20,8,4,5,2,6,21,7,33
"Associate Professor",4,1,3,3,5,4,20,52,2,7,9,7,8,13,26,26
"Assistant Professor",5,3,5,5,6,7,31,47,8,5,9,9,9,19,26,30
"Associate Professor",5,1,5,6,6,2,25,52,3,8,10,7,10,21,24,26
"Assistant Professor",5,1,2,7,5,2,22,49,6,5,10,4,7,24,19,29
"Professor",3,3,3,3,3,3,18,40,6,6,9,10,7,10,13,31
"Professor",5,2,3,4,4,3,21,30,7,9,10,5,9,14,14,29
"Associate Professor",5,3,5,4,4,5,26,41,3,6,10,6,7,11,16,30
"Assistant Professor",3,4,2,3,3,5,20,38,6,5,6,4,10,20,12,31
"Professor",4,2,4,5,4,2,21,31,10,9,10,3,10,17,11,33
"Associate Professor",4,4,4,2,6,5,25,40,8,8,9,3,10,19,19,35
"Assistant Professor",3,1,2,6,3,1,16,31,8,7,10,3,10,15,18,35
"Associate Professor",3,1,2,4,2,1,13,38,4,9,10,5,6,29,21,26
"Professor",5,3,4,6,5,2,25,25,5,8,10,2,6,19,13,34
"Professor",4,2,3,5,4,2,20,52,4,7,10,9,10,22,28,25
"Associate Professor",2,2,2,6,4,2,18,32,9,7,5,4,9,28,18,27
"Professor",3,2,3,6,4,3,21,47,8,8,10,6,8,12,24,27
"Professor",1,1,2,7,2,2,15,48,2,6,6,8,5,17,24,30
"Associate Professor",4,2,4,4,5,5,24,41,5,8,10,7,9,25,19,31
"Assistant Professor",6,2,2,3,5,6,24,39,10,9,8,4,9,19,17,23
"Professor",1,1,1,4,4,4,15,68,5,6,7,10,5,21,31,28
"Professor",3,3,3,2,3,4,18,57,6,5,8,7,10,12,27,31
"Assistant Professor",5,1,2,5,5,4,22,46,4,8,10,6,8,20,23,29
"Professor",4,4,4,4,4,4,24,21,7,10,10,2,5,19,9,35
"Associate Professor",5,2,3,3,3,4,20,48,10,8,9,4,10,22,23,25
"Professor",5,3,6,4,5,3,26,32,5,7,9,4,7,13,11,30
"Professor",2,1,2,6,2,1,14,28,7,7,10,3,10,16,15,35
"Associate Professor",3,2,2,4,3,4,18,49,4,7,7,7,5,17,21,25
"Assistant Professor",6,4,6,6,7,4,33,40,3,5,10,6,6,18,18,30
"Professor",6,1,6,2,6,3,24,46,7,8,9,2,10,10,22,32
"Professor",5,1,6,5,6,5,28,53,7,7,10,6,6,21,14,22
"Associate Professor",6,5,6,4,6,5,32,46,4,6,8,6,5,15,18,34
"Assistant Professor",4,1,5,7,6,5,28,37,5,7,10,5,8,15,17,29
"Assistant Professor",4,1,3,4,4,3,19,44,8,10,6,5,8,21,14,27
"Associate Professor",6,1,5,5,5,7,29,44,6,5,7,5,5,22,26,26
"Professor",4,1,4,5,5,4,23,36,5,8,10,4,10,11,12,23
"Associate Professor",5,5,3,4,4,3,24,38,6,9,10,5,6,14,17,31
"Assistant Professor",5,1,6,6,6,2,26,30,7,6,8,3,6,16,10,32
"Professor",1,1,1,7,1,1,12,39,9,10,8,5,9,18,12,30
"Associate Professor",5,1,6,2,5,2,21,39,4,7,5,4,8,22,15,30
"Associate Professor",5,1,2,4,4,3,19,52,6,6,8,9,6,16,22,29
"Assistant Professor",4,2,3,6,5,3,23,44,5,4,9,7,8,22,24,28
"Professor",3,2,3,4,3,4,19,31,4,7,10,3,7,15,8,33
"Professor",4,1,4,4,5,6,24,38,5,7,7,4,8,14,17,29
"Professor",2,1,2,6,3,2,16,29,10,6,9,3,7,23,17,34
"Professor",3,2,3,4,4,3,19,48,7,5,6,8,6,25,28,24
"Professor",5,2,5,5,5,3,25,40,5,8,8,4,7,18,19,28
"Assistant Professor",3,1,3,4,4,6,21,51,10,8,6,8,8,20,21,19
"Associate Professor",5,3,6,5,5,6,30,44,10,8,5,6,8,22,18,26
"Professor",5,2,6,2,5,6,26,58,3,8,9,4,6,11,23,28
"Professor",4,2,2,6,5,1,20,29,5,8,10,4,7,19,18,29
"Associate Professor",4,2,4,5,4,5,24,60,6,7,7,7,6,20,30,28
"Assistant Professor",4,4,4,5,5,5,27,58,7,7,9,8,8,20,27,32
"Assistant Professor",5,2,7,3,6,7,30,60,5,8,8,6,9,26,20,26
"Assistant Professor",4,2,2,5,4,5,22,45,4,7,8,8,4,19,24,29
"Professor",5,3,5,4,5,6,28,58,6,8,9,9,7,21,31,25
"Professor",5,1,2,5,4,1,18,31,8,9,7,2,6,23,8,28
"Assistant Professor",4,1,5,5,4,4,23,45,9,7,8,8,9,22,23,26
"Assistant Professor",4,1,3,5,3,4,20,34,8,9,9,3,6,23,17,27
"Professor",4,2,2,4,3,3,18,48,4,7,8,10,7,13,24,27
"Professor",4,2,2,4,4,2,18,35,6,5,9,6,5,13,13,26
"Professor",6,1,6,5,5,2,25,33,4,7,10,5,10,17,16,29
"Professor",5,2,5,2,6,6,26,48,5,7,8,8,7,23,25,17
"Associate Professor",5,1,5,5,5,5,26,37,7,8,8,6,7,16,20,24
"Professor",4,1,5,4,4,5,23,58,5,5,10,10,9,17,26,29
"Assistant Professor",5,2,5,3,4,6,25,63,6,9,10,9,8,23,33,27
"Professor",5,1,1,4,4,1,16,36,7,7,7,4,10,21,20,31
"Professor",7,5,7,6,6,4,35,44,5,10,10,5,8,15,17,28
"Professor",4,1,1,7,5,4,22,35,4,4,10,3,7,24,9,32
"Associate Professor",6,2,7,5,7,4,31,38,5,6,6,7,6,13,21,30
"Associate Professor",5,1,1,3,5,4,19,31,6,8,9,2,10,16,22,33
"Assistant Professor",7,1,5,6,7,4,30,39,6,9,10,7,4,12,20,26
"Associate Professor",4,1,1,5,4,5,20,56,4,4,6,9,8,22,25,21
"Professor",4,4,4,3,4,4,23,55,4,6,7,7,6,15,25,28
"Professor",4,2,3,5,4,3,21,34,8,9,10,5,9,22,17,33
"Professor",6,4,3,5,4,2,24,29,8,7,9,4,10,19,14,26
"Associate Professor",7,2,7,3,6,7,32,54,7,8,9,9,9,18,29,29
"Professor",4,2,5,5,4,3,23,29,4,7,5,3,6,18,13,31
"Professor",4,1,3,3,5,2,18,28,4,6,10,3,5,14,11,34
"Assistant Professor",3,1,4,5,6,6,25,54,6,7,9,9,10,12,24,24
"Professor",3,2,5,5,4,4,23,44,3,8,7,7,9,21,21,27
"Assistant Professor",5,1,3,6,5,3,23,50,8,6,8,6,9,18,21,32
"Assistant Professor",3,1,1,4,2,3,14,36,3,8,9,5,5,8,17,25
"Professor",4,1,6,2,7,5,25,50,5,5,10,4,8,13,19,31
"Assistant Professor",4,1,4,4,4,6,23,41,9,7,10,5,8,15,9,33
"Associate Professor",7,2,7,5,7,7,35,44,6,8,9,6,4,18,32,25
"Associate Professor",6,3,5,3,6,4,27,39,9,7,6,5,6,12,17,31
"Professor",6,2,2,6,6,1,23,29,7,7,10,5,6,26,13,28
"Assistant Professor",2,2,2,5,4,1,16,38,8,7,10,5,9,31,20,32
"Professor",4,1,2,6,5,1,19,41,9,6,10,6,6,8,19,25
"Professor",2,1,1,6,4,1,15,36,8,8,8,5,5,16,14,33
"Assistant Professor",5,1,3,3,5,2,19,35,8,8,9,4,3,22,20,26
"Assistant Professor",5,2,6,5,5,3,26,50,2,7,8,7,6,19,22,28
"Assistant Professor",4,3,4,5,4,5,25,41,6,10,9,6,9,26,19,29
"Professor",5,1,2,6,4,2,20,29,8,8,3,4,8,13,11,28
"Professor",3,1,1,3,2,1,11,34,5,8,7,4,7,23,10,24
"Professor",4,1,1,4,4,1,15,30,6,10,9,4,7,13,15,33
"Associate Professor",6,2,5,3,5,5,26,56,2,5,9,9,8,16,25,18
"Associate Professor",5,1,4,7,7,7,31,49,8,3,7,10,8,18,21,34
"Assistant Professor",2,1,1,3,3,1,11,52,7,6,9,6,8,29,11,25
"Professor",5,1,4,4,5,2,21,24,6,10,9,2,8,22,8,29
"Professor",5,1,3,5,5,2,21,30,8,8,7,5,9,22,14,26
"Professor",6,6,7,5,7,6,37,43,7,9,9,3,7,22,15,28
"Professor",5,1,2,6,5,2,21,30,9,7,10,8,6,31,16,34
"Professor",5,3,4,6,5,1,24,38,6,6,8,4,5,21,12,29
"Professor",6,4,5,3,6,7,31,55,8,10,10,10,5,17,24,33
"Professor",5,2,5,4,4,2,22,50,8,8,7,8,8,20,24,26
"Professor",5,1,4,2,5,6,23,44,4,9,6,6,6,20,23,27
"Professor",5,4,3,5,5,2,24,31,8,8,10,3,8,19,10,31
"Professor",7,2,6,6,5,2,28,29,6,8,7,5,9,17,12,28
"Professor",5,1,2,6,4,3,21,30,7,8,9,2,6,18,17,28
"Professor",5,4,3,2,4,4,22,37,9,7,10,4,5,25,18,32
"Professor",6,3,7,6,6,7,35,55,7,9,10,7,9,19,25,32
"Professor",2,1,1,2,3,5,14,60,6,10,7,3,9,19,16,31
"Associate Professor",4,2,3,4,4,1,18,45,10,10,5,6,6,12,26,24
"Associate Professor",2,1,3,5,3,3,17,31,6,6,10,3,10,18,10,32
"Associate Professor",5,2,7,3,6,6,29,52,3,7,10,7,9,19,23,31
"Assistant Professor",3,5,5,4,5,5,27,52,10,8,10,9,9,21,26,23
"Professor",3,3,3,6,6,1,22,41,2,6,10,8,10,15,24,26
"Assistant Professor",2,1,1,4,2,3,13,39,5,9,6,6,8,18,17,24
"Professor",4,4,3,6,7,2,26,36,8,7,9,5,9,26,19,32
"Professor",6,2,3,5,5,4,25,42,8,8,10,8,9,21,15,34
"Associate Professor",5,5,5,5,5,5,30,49,6,10,10,6,10,20,18,25
"Professor",5,3,5,5,5,2,25,36,3,8,7,5,5,15,19,30
"Associate Professor",7,1,7,3,5,7,30,51,10,9,8,8,3,17,21,20
"Associate Professor",5,1,3,5,3,2,19,45,6,7,7,6,5,21,21,27
"Professor",6,2,2,3,4,4,21,37,8,9,8,6,10,20,14,30
"Professor",5,4,5,6,5,4,29,43,9,8,6,8,7,29,28,25
"Assistant Professor",5,1,3,4,3,4,20,49,5,7,7,4,6,25,26,25
"Assistant Professor",5,1,4,3,5,7,25,56,8,6,10,10,10,21,28,31
"Professor",5,1,2,6,2,2,18,56,2,4,9,9,6,9,31,33
"Professor",3,1,3,7,4,1,19,37,4,10,5,4,10,10,16,24
"Assistant Professor",4,1,7,3,7,5,27,47,4,9,8,3,9,28,27,28
"Associate Professor",5,1,7,3,5,6,27,28,9,7,8,4,8,32,13,27
"Assistant Professor",4,1,2,3,3,5,18,48,6,6,8,9,10,12,23,28
"Associate Professor",4,1,2,3,4,3,17,55,3,8,10,4,7,23,24,27
"Associate Professor",4,2,5,3,4,5,23,48,6,7,7,7,7,21,20,25
"Associate Professor",3,1,2,4,3,4,17,57,7,10,7,4,6,17,31,23
"Associate Professor",7,1,5,3,5,4,25,51,3,9,10,10,10,10,34,33
"Associate Professor",5,3,3,4,4,3,22,57,6,7,10,4,8,20,25,28
"Assistant Professor",3,1,4,5,5,3,21,46,7,7,10,6,9,14,21,31
"Assistant Professor",3,1,1,6,4,1,16,25,6,9,9,2,6,15,10,33
"Professor",7,7,7,5,7,7,40,56,8,7,10,8,2,16,18,30
"Assistant Professor",1,1,2,1,2,2,9,30,4,9,9,2,6,14,11,29
"Professor",1,1,1,5,3,1,12,35,6,6,10,7,4,7,15,29
"Associate Professor",4,4,4,3,6,6,27,56,5,6,6,9,7,14,24,23
"Professor",3,2,2,6,5,5,23,42,2,5,10,4,3,20,27,25
"Associate Professor",5,3,5,6,5,2,26,49,3,7,10,8,10,7,25,34
"Professor",4,2,3,6,5,5,25,34,3,10,9,2,8,12,13,34
"Associate Professor",1,1,1,1,1,1,6,36,7,5,9,4,10,11,13,31
"Assistant Professor",5,1,3,5,5,2,21,27,8,10,10,4,5,19,9,31
"Assistant Professor",5,1,4,3,7,7,27,48,10,6,10,4,7,28,20,31
"Professor",1,1,1,4,1,1,9,47,5,7,10,7,9,15,26,30
"Professor",2,1,3,5,3,2,16,26,6,9,7,2,10,19,7,29
"Associate Professor",1,1,1,1,1,3,8,37,9,6,5,5,6,26,17,28
"Professor",1,1,1,4,1,1,9,36,8,10,9,8,9,16,13,26
"Assistant Professor",6,4,3,3,5,4,25,42,4,10,8,6,10,26,29,30
"Professor",3,3,3,5,4,3,21,36,3,7,10,3,10,16,21,33
"Assistant Professor",5,3,6,2,6,6,28,64,4,5,7,10,7,19,30,19
"Professor",7,1,7,5,6,5,31,45,10,10,10,6,8,30,19,29
"Assistant Professor",6,1,4,3,5,3,22,46,10,5,10,6,10,26,20,28
"Professor",3,1,2,7,5,2,20,30,9,7,10,3,5,24,14,32
"Professor",3,2,2,3,2,2,14,37,8,9,6,3,9,22,13,22
"Professor",4,4,3,4,4,2,21,28,3,9,9,4,7,14,10,31
"Assistant Professor",2,1,2,2,4,7,18,52,5,6,10,9,7,17,31,20
"Professor",1,1,1,4,1,1,9,36,5,8,5,3,5,12,8,28
"Professor",4,1,2,5,4,5,21,53,2,6,9,6,9,12,27,26
"Professor",5,2,4,5,5,5,26,41,4,8,6,5,7,17,16,23
"Assistant Professor",5,5,4,5,5,1,25,43,3,8,6,5,7,14,22,27
"Professor",5,5,5,6,5,2,28,35,6,10,10,2,5,12,10,31
"Assistant Professor",6,1,5,3,7,7,29,59,2,5,9,7,7,19,21,27
"Associate Professor",2,1,1,6,1,2,13,38,5,9,9,5,8,18,14,30
"Professor",5,3,4,4,5,5,26,51,5,5,8,8,7,16,24,27
"Professor",1,1,1,5,2,1,11,53,3,9,4,6,7,14,27,29
"Professor",4,4,3,6,6,3,26,25,4,10,7,2,8,23,14,32
"Professor",3,1,1,4,3,1,13,33,5,5,6,2,6,20,11,26
"Assistant Professor",5,1,2,5,4,5,22,40,8,8,10,4,10,25,25,31
"Associate Professor",4,1,3,4,4,2,18,49,2,7,8,8,7,24,26,33
"Associate Professor",3,1,2,4,2,5,17,57,9,6,9,8,5,21,25,23
"Associate Professor",5,1,5,3,7,5,26,57,6,9,8,6,9,19,29,34
"Professor",4,1,1,5,4,1,16,21,8,6,7,2,7,21,8,31
"Professor",3,1,1,4,4,1,14,36,6,10,9,2,10,12,14,29
"Associate Professor",6,2,6,4,6,6,30,67,5,8,7,9,5,7,26,23
"Associate Professor",4,2,4,3,3,2,18,49,7,9,9,8,9,25,26,24
"Professor",3,1,4,5,2,6,21,36,7,7,8,6,9,31,16,27
"Associate Professor",4,4,6,5,6,5,30,37,6,10,10,5,7,20,18,33
"Professor",3,1,6,5,7,3,25,41,4,7,9,6,6,12,13,31
"Professor",4,1,5,4,5,5,24,42,8,7,7,5,7,16,17,26
"Professor",3,1,2,5,3,2,16,27,6,8,10,2,5,24,12,34
"Professor",3,1,4,5,3,2,18,34,4,9,8,3,4,21,16,30
"Assistant Professor",3,1,3,4,4,3,18,43,5,10,9,8,8,19,17,26
"Professor",7,2,7,6,7,1,30,35,3,7,10,4,6,17,12,29
"Assistant Professor",6,2,5,4,5,6,28,31,8,8,8,2,6,25,12,30
"Associate Professor",3,2,5,4,7,6,27,51,6,8,4,5,7,25,20,28
"Assistant Professor",6,3,6,5,7,7,34,61,8,6,8,9,9,17,32,31
"Associate Professor",5,1,4,5,5,4,24,41,10,8,10,5,10,27,12,29
"Associate Professor",5,2,4,4,4,2,21,37,7,6,5,8,10,16,27,31
"Associate Professor",5,1,3,6,4,2,21,23,5,9,10,2,6,14,12,27
"Professor",2,1,2,4,3,2,14,38,4,8,7,6,10,19,25,29
"Associate Professor",5,1,4,4,6,5,25,59,2,6,10,6,10,21,28,29
"Associate Professor",6,2,4,4,6,5,27,40,3,9,8,5,9,23,20,29
"Professor",6,1,6,3,6,3,25,43,8,9,9,7,10,22,23,34
"Assistant Professor",7,5,6,4,7,5,34,50,7,10,9,6,8,22,26,23
