"P_ID","S_G30","S_G50","S_F75","S_FF","S_G50FF","About_Proposal_Deadline"
"P_38",0,0,1,1,0,"Not only do proposal deadlines give me more stress, but they lead to a majority of terrible proposals that I would have likely waited to submit (or not submitted at all). It is a lot of extra work for panelists and for me, but if I do not hit the proposal deadlines, I am viewed as deadweight by my academic unit. So I (and many around me) submit because that is what we are told we should do to maintain the prestige of the university.    I am an interdisciplinary researcher, and the projects I work on that are funded by divisions of NSF without proposals mature to a point where I am ready to ask for funding. At that point, I submit without being hassled by the research advancement staff. I might submit less proposals because of the less pressure, but I get more good work done.    On the other hand, if I'm awarded one of the worse proposals that I submit just because there is a deadline and I am expected to submit, then it is unlikely I will use the awarded funds for exactly what I proposed. So it is basically just institutionalized gambling - a bad proposal goes in, may get lucky enough to get funded, and then the funding agency is going to be lucky if the work that is completed has anything to do with the original proposal.    As a side note, the NSF CAREER needs to be abolished. It is a poor model for all other kinds of proposals someone will submit later in their career. Single-investigator grants (and papers) are so archaic. The CAREER process is not much worse than a normal grant, and so why not just devote the effort to a normal proposal (perhaps without the arbitrary deadline)? Furthermore, no other proposal requires silly things like letters of support from the department. These departmental letters are form letters that basically just advertise the standard concessions that a department gives its tenure-track faculty (which do not vary much across universities anyway). Why force a faculty member to jump through these extra hoops? If you really care about fostering leadership, then find a way for young investigators to lead multi-investigator grants and get help from more senior investigators who sign on as Co-I. The opportunity cost (in terms of time and money) of the CAREER program is far too high to justify it continue its existence. NSF got rid of the DDIG, which it should have kept, and kept the CAREER, which it should have gotten rid of."
"P_44",1,0,1,0,0,"Deadlines are easier for me to handle when I am the only PI. It stresses me far less, because I can work on my own pace. The moment I have Co-PI's it gets more chaotic, because I depend on the input from others, which I can't so easily control.    I submit proposals to two different NSF programs. One has deadlines, the other has no deadlines. At the program with deadlines I never got a proposal funded the first time. The other program (without deadline) funded my proposal after the first submission. This is not statistically solid, but I felt I submitted a much better prepared proposal when I had no deadline, because I waited until I found it was perfect."
"P_45",0,0,0,0,0,"The deadlines are less impactful compared to the shear number of proposals one has to submit.  In this respect, maybe providing much more time between FOA and deadline would help researchers manage deadlines more effectively."
"P_46",0,0,1,0,0,"It is more stressful on the days when I expect an answer to the proposal!"
"P_48",0,0,1,1,0,"I prepare grants and submit them about six weeks before due "
"P_50",0,0,0,0,0,"It's all about planning.  I have a child with special needs.  I simply can't afford to do things at the last minute anymore because life is too unpredictable.  BUT convincing my collaborators to do things early is the biggest issue and stress..."
"P_56",0,0,0,0,0,"The NSF is LYING about funding rates- the % success rate is likely 5% or less. I have already found that women win NSF grants at a rate 3X compared to men in our dept. The reviews are not based on the grants, rather personal relationships. You should research impact on health when reviews come back full of ad hominems."
"P_57",0,0,1,0,0,"Rolling submission deadlines are less disruptive or stress inducting than fixed date deadlines"
"P_60",0,0,0,0,0,"Ever since graduate school, I've been taught not to rush for deadlines, and I try hard not to submit anything (including proposals) that are left to the last minute."
"P_64",0,0,0,0,0,"The day the proposal is due is not the worst, that's the end. The worst are the 2-3 preceding the deadline. If feels like there's a mountain to climb"
"P_65",1,0,0,0,0,"Rolling deadlines is better for stress, but I am less likely to get them done that way."
"P_67",0,0,1,0,0,"Years ago, NSF didn't have fixed deadlines. The imposition of deadlines is for the benefit of the agencies, not the PIs. A significant amount of stress occurs in getting the budgets worked out in detail. And yet I've noticed most PIs in my NSF program get about the same amount. Besides, we have almost complete freedom to move money from one budget category to another. I think proposal budgets could be greatly simplified."
"P_69",0,0,0,0,0,"longer open period of submission (say 3 months-long) twice a year"
"P_72",0,0,1,1,0,"i like proposal deadlines - it forces us to get organized.  my biggest issue is the slow response by my campus grants offices - i would not be submitting last minute but for them. i would like to see reduced paperwork/compliance/bureaocracy in the filing of the proposal - "
"P_74",0,0,1,1,0,"Impossible to prepare some proposals due to short deadlines and too many teaching or administrative commitments during some months of the year"
"P_77",1,1,1,1,1,"I just can't seem to avoid pulling an all-nighter just before the proposal deadline.  I have too many other obligations (research, teaching, family) to get an early enough start, it seems.  And I am never satisfied that I have done my best on the proposal when the deadline comes."
"P_78",0,0,0,0,0,"The proposal process is way to complicated.  I think everyone spends a tremendous amount of energy and time on a bet that they might get some funding.  This is stressful.  Make the entire process much more straightforward and easy to complete.  Make the reward worth the effort."
"P_80",1,1,1,1,1,"Deadlines at the beginning or end of a typical semester are quite stressful.  Summer deadlines are best."
"P_81",0,0,0,0,0,"Asking minorities and menstruators to submit proposals is only perpetuating white supremacy and systemic patriarchy. They should just be given grants whenever they say they need it."
"P_82",1,1,1,1,1,"I use my own internal deadlines, which typically are at least a week before the actual deadline.  I don't have a problem with deadlines, I just plan for them."
"P_83",0,0,0,0,0,"Concerns about the proposal format meeting the requirement of funding agency; Pressure from the last-minute items required for the proposal submission."
"P_90",0,0,1,0,0,"Expansion of ancillary information that needs to follow highly constraint formats.    Formatting should not be an issue since boiler plate information should be formatted during the uploading process, and necessary missing information can be prompted."
"P_91",1,0,0,0,0,"I am literally procraastinating on my NSF due in just a few days right now. And I am stressed to hell. The rpject is close to ready but one million little things need wrapping up, I;m losing sleep and going kind of crazy and my partner can't make jokes due to my mood. "
"P_92",1,1,1,0,0,"My NSF directorate (DEB) has gotten rid of deadlines, but I still have had USDA fixed deadlines this past year."
"P_94",0,0,1,0,0,"I only get stressed if I don't have the whole proposal drafted a week before the deadline so that I have time to edit"
"P_95",0,0,0,0,0,"Having deadlines repeating every month or two would be beneficial, instead of just one deadline per year. "
"P_97",0,0,0,0,0,"My only problem is that the actual submission of the proposal is out of my direct control and most of the stress involved comes from prompting our sponsored research office to submit.  Having PI ability to submit would make submitting proposals less stressful."
"P_100",1,0,0,0,0,"Your survey was comprehensive"
"P_105",0,0,1,0,0,"Amount of wasted time worrying about silly things like budget and overhead rates when they have little to nothing to do with the chances of the grant getting funded. Also, navigating the red tape."
"P_107",0,0,0,0,0,"Frustration and anxiety resulting from collaborators who do not respect deadlines and do not put in the effort needed on their part, which increases my workload."
"P_109",0,0,0,0,0,"I submit more proposals to programs with deadlines than those without. "
"P_111",1,1,1,1,1,"I start preparing my proposals well in advance of a deadline (> 6 months), because I don't want to increase my stress level and my work load. It much easier to spread things over 6 months. Two months before the deadline my proposal is fully ready, and all I do is tweak things a little before submitting, and submit it a week before the deadline. My strategy of eliminating deadline stress is to act as if the deadline is two months earlier than it actually is."
"P_114",0,0,0,0,0,"1/ How much support I get from the department (peers, senior professors, staff). In my case, ZERO.   2/ Whether I *need* the external funding to do good research. In my case (pure math), I do NOT need the external funding, but I feel pressured to apply for grants to meet quota."
"P_115",1,1,1,0,0,"I like the no deadline system, in some NSF programs now. It helps with the reviewer overload, which is an important consideration. Deadlines seem to incentivize people to submit proposals even when they have nothing good to submit. "
"P_117",0,0,0,0,0,"To succeed in acquiring funding, I need to spend more time writing proposals than actually doing research or writing papers. The current extreme level of funding competition creates huge waste."
"P_120",0,0,0,0,0,"Perhaps the sort of rolling submission that NIH study section members enjoy - they can submit at any time. Actually, I think deadlines can be helpful, but the problem is with only 2-3 per year, they sometimes do not fall at a good time with respect to workload. quarterly or more frequent submission deadlines would help from the PI perspective, but not so practical from agency perspective."
"P_121",0,0,0,0,0,"I wrote that day of and leading up to proposal I did ""administration"" and research, but I was referring specially to the micromanaging of our grants office administrator. We do not have a dedicated grants person in our department, and we have to rely on University-wide administrators. They are kind, and hard working, but they have yet to help me submit a proposal in 5 years where I have not found an error on their part of the process in terms of filling out the forms for grant proposals related to institution, forgetting University documents, or uploading for an incorrect PAR number. I would say this contributes to the most stress for me when submitting proposals, because in addition to proofreading and triple checking my own parts related to the science, I also have to spend time quality control checking all of their tasks to catch their errors before submission."
"P_122",0,0,0,0,0,"No ideas"
"P_123",0,0,0,0,0,"n/a"
"P_125",1,0,0,0,0,"Proposals and managed through univ admin, so I have to get things done early."
"P_126",0,0,0,0,0,"The deadlines do not match the requirements at our institution. We have to prepare everything at least a week before submission, The pressure periods are severe for the internal deadlines. "
"P_131",1,0,1,1,0,"It is completely impossible to write proposals during COVID lockdown with no child care.  Since daycare stopped I have submitted zero proposals. "
"P_135",0,0,0,0,0,"Without deadlines it's easier to let things slip"
"P_137",0,0,1,1,0,"I actually like deadlines, because they require me to spend focused time on a proposal. I have tried starting proposals earlier, and I tend to still work on them until the deadline, so I stopped starting too early to allow me to be more efficient. Large proposals with multiple PIs are far more stressful than proposals with just me or with one another PI."
"P_138",0,0,0,0,0,"I do not think proposal deadlines are the problem.  In fact, with no deadlines I would submit fewer proposals, because I will never be satisfied of what I wrote."
"P_139",1,1,1,1,1,"The most stressful part is the necessary reliance on other people. For example, will the research administration people get their budgets and paperwork done in time? I often have to remind them multiple times. Will my co-PIs get their parts done in time?"
"P_140",0,0,1,0,0,"One of the stressful components associated with the proposal preparation is a steady increase in number of required supporting documents aggravated by a frequent change in preparation requirements. Many of these docs have little to no value, just a typical way who bureaucracy demonstrates that they do something.  NSF is particularly bad in this aspect. The preparation of all these docs now takes more time than the preparation of  the proposal itself."
"P_142",1,0,1,0,0,"Although stressful, proposal deadlines force us to put a timeline with a HARD immovable target date. This requires us to compile many of our ideas and hone them into a good story. As it has currently stood, much of the ""prior research"" for proposals has been completed within the ~1month before the deadline. Some of this is due to waiting for calls to identify topics, forming teams, etc., but also due to prioritization. We are so focused on meeting our existing deadlines for FUNDED programs that we cannot devote the time to exploring the NEW ideas/concepts until we have no other choice. This leads to a constantly high stress level. Although you can get things done, you never have enough time to get ahead, to think creatively, and truly explore limits. It is simply chasing one deadline to the next.    I am not sure replacing deadlines is a good thing. They are stressful but they are very helpful to force you to submit your idea."
"P_146",0,0,1,0,0,"Deadlines provide external accountability to submit despite the added pressure to meet them.  The removal of deadlines by NSF has reduced the urgency and requires more self-discipline."
"P_150",0,0,1,0,0,"Please note that I am taking this survey after a big deadline for proposal to an experimental facilty (August 3). Last week some of my answers would've been different."
"P_151",0,0,1,0,0,"2 kids and dog, can't do anything at last minute , everything has to be done in small chunks over time "
"P_153",0,0,0,0,0,"Rolling deadlines would be helpful as is the case for many areas covered by NSF. "
"P_154",1,0,0,0,0,"I don't find the deadlines stressful except for the inevitable bureaucratic nonsense (either from my university or the every-changing whims of the funders). The other parts are fairly straightforward."
"P_155",1,1,1,1,1,"Deadlines are helpful, but they are very problematic when there is too much time between them.  It would be great if each call for proposals would review proposals in batches, perhaps once each quarter.   "
"P_156",0,0,1,0,0,"Proposal deadlines are not the problem.  The problem is an unhealthy work culture in the scientific enterprise as a whole.  Replacing proposal deadlines with some other mechanism may have little to no effect on this overarching culture."
"P_157",0,0,1,0,0,"NSF is currently working on a no-deadline model; I don't yet know whether you will ask about this. It's a double-edged sword, and I think an effective way to reduce the number of submissions.  It does not mean I'm less stressed, however - the stress is more internalized and goes on for longer.  It's still far better than that pre-proposal model, however!!!"
"P_158",0,0,1,0,0,"My reactions and stress have changed significantly over my 4 years as assistant professor with no grants funded.  My stress and work distribution is completely different now, also because my teaching preparation workload is manageable compared with in the first two years when I had to develop the classes.  I think rolling deadlines are the best for you and also for the university grant administrators to pay the most attention to your proposal.  Those of us applying constantly to multiple agencies already have the burden spread.  That is probably most researchers now."
"P_159",1,0,1,1,0,"All ideas, writing, reading basically are done by myself. Reducing the amount of time doing compliance busy  work  would be helpful. Sending in a proposal without a deadline would be very helpful."
"P_162",0,0,1,1,0,"It feels like sending ideas into a void for a long time. It would be much better to present proposals in the form of presentations to program officers and to be able to answer questions."
"P_165",0,0,0,0,0,"I'd like to see rolling deadlines. "
"P_166",0,0,0,0,0,"I typically submit my grant proposals a week or more ahead of the deadline in order to successfully work with our admin teams that ultimately submit the paperwork. I also let these teams know that I am planning a submission at least 3 months in advance. I find that this helps ease a lot of stress and has extremely beneficial effects on my relationships with admin personnel."
"P_167",0,0,1,0,0,"The deadline serves the purpose that I have no objection to keep."
"P_168",1,0,0,0,0,"Wishing I had had more time; more prior work; more familiarity with the landscape of the funding process"
"P_170",0,0,0,0,0,"Frustration with associates not doing their part or doing it well, requiring rewriting."
"P_171",0,0,0,0,0,"Honestly, my work on proposals probably looks similar to an exponential growth model, so even though I start 2 months ahead, the large bulk of work is done in the last week.  I know this is not ideal, and better time management might fix it, but I haven't managed to fix it in 20 years."
"P_174",0,0,0,0,0,"quarterly proposal deadlines"
"P_180",0,0,0,0,0,"I have been funded by NSF, NIH and NASA grants over forty years for about 28 million dollars. Not including a few million in sponsored research agreements from companies I cofounded.  As a very senior scientist I am not getting funded by NIH anymore which I feel is age discrimination. My funding comes from a new biotech company."
"P_182",0,0,1,0,0,"None."
"P_184",0,0,0,0,0,"Working with sponsored projects office on budgets can be more stressful than anything else because you cannot submit without the university but because that office works on deadline it can be hard to get to the front of the line if you are too early. "
"P_190",1,1,1,0,0,"Research proposals to private industry require much more time and effort to engage, identify, and develop potential projects with sponsors.  There is an upfront time investments to establish this long-term relationship and trust.  These efforts are difficult to quantify  in the metric for proposal success.  "
"P_191",0,0,0,0,0,"Timelines between publication of a solicitation and deadlines are artificially short. There's also the fact that internal deadlines for submission to the research office are always days earlier to ensure that the proposal is submitted on time. Multiple NSF programs are now moving away from fixed deadlines which is helpful. Additionally, required administrative and support documents create a lot of busy work as part of proposals (e.g. new NSF requirement to use SciENcv for biosketches)."
"P_195",0,0,0,0,0,"I tend to be more irritable with family and put everything on the back burner as I try to make a deadline."
"P_197",0,0,0,0,0,"We are required to submit proposals through Sponsored Programs at least 1 week prior to submission to check docs/correct errors. "
"P_198",1,0,1,0,0,"It's important to be able to meet deadlines. Deadlines help me focus on the task at hand. There is some stress, but I'm used to it and just consider it part of the process."
"P_201",0,0,1,0,0,"I think no matter how early I start or how late I start the stress of the deadline is always there - so I find I do better not starting too early because im always focused on polishing at the end"
"P_202",0,0,0,0,0,"I submit more to NIH simply because I can... three deadlines a year are more convenient than a single submission window at NSF. The engineering directorate at NSF got rid of deadlines, it would be great if MPS followed their lead. In terms of funding, I would advocate strongly that 3 x $150k EAGER grants likely have a bigger impact than a single $450k proposal. Thus, I would urge NSF to consider increasing funding to smaller funding mechanisms which are intended to gather preliminary data to increase competitiveness in future submissions."
"P_203",1,1,1,0,0,"Without proposal deadlines I doubt they would get done, both by myself and colleagues. Reducing stress would be helpful, but I think that is up to the proposal team and how well they work in advance of the deadlines.     So workshops on proposal preparation and specifically collaborative practices during proposal writing would be very helpful."
"P_204",0,0,1,1,0,"Deadlines are just part of life"
"P_207",0,0,0,0,0,"NASA deadlines are usually not optimal for professors. The overall low funding rate makes it very difficult for early career faculty to get their foot in the door. Often most of my time with proposals is spent on appeasing internal paperwork that has no effect on the overall quality of the proposal thus I typically have a very short time to actually spend on the proposal."
"P_209",0,0,0,0,0,"Constant fight against a sense of hopelessness with funding proposals in order to maintain enthusiasm for the sake of my postdocs and students. "
"P_210",0,0,0,0,0,"No comment"
"P_213",1,1,0,0,0,"My main agency doesn't have fixed proposal deadlines and that is quite nice. "
"P_214",0,0,0,0,0,"Deadlines help me focus. Without a deadline the submission might be delayed without significant improvement in the proposal quality "
"P_216",0,0,0,0,0,"Feel like institution and department does not appreciate or support my proposal writing efforts"
"P_219",0,0,0,0,0,"There is tremendous pressure to submit.  Process is extremely confusing with very limited support. Most of the time people who get these things are already known to the granting institutions.  It is a good old boy network and there is no way to break in.  Still have to try even though you know there is no way you will get it."
"P_220",0,0,0,0,0,"too few appropriate funding opportunties"
"P_224",1,1,1,0,0,"Deadlines are good to get things done. Sometimes I try to submit something for a deadline I know isn't realistic just to make enough progress for a future more realistic one. Although the last time I tried that I actually did finish the proposal and it got funded first time around!! So turning out to be a fantastic strategy "
"P_225",0,0,1,1,0,"Proposal deadlines would be much less problematic if they were tuned to typical faculty schedules. For example have proposals due during summer/winter breaks. Also the stress can be slightly reduced by only requiring documents necessary for evaluating the proposal at the deadline and then requiring the rest only of highly ranked proposals. For example require  project description, summary, DMP , biosketches and a rough budget at submission and only request full budgets, F&E, current and pending support, list of collaborators only of the selected proposals and perhaps a few  backups. "
"P_226",0,0,1,1,0,"Most of the stress actually comes from dealing with my University OSP.  If the proposal submission could be done without involving them, it would be much better."
"P_227",0,0,1,0,0,"One issue is the amount of paperwork that we need to submit to our own office of research on top of the agency requirements. (And often a week or so before deadlines). Seems that it would be better to divorce the proposal and the budget entirely. You propose work in a certain window of budget. If it is likely to get funded then you submit the budget through the Office of Research and then on to the agency. It would allow researchers to concentrate on one task."
"P_232",1,0,1,1,0,"I have learned to plan far in advance with a small child at home.  What's hard is collaborating with people who do everything last minute.  Also, my institution is not terribly competent, so I spend a ton of time on administrative tasks, which frankly causes a fair amount of my stress."
"P_233",0,0,0,0,0,"Significant burden coordinating with research development/grant office who coordinate the submission"
"P_235",0,0,0,0,0,"I turn in my proposal documents to my research office a day in advance of them actually submitting the proposal, so that they can perform compliance checking."
"P_237",0,0,0,0,0,"I don't see why deadlines are needed.  With no deadlines, people only submit when they are ready, decreasing the burden on everyone."
"P_238",0,0,1,1,0,"I greatly prefer calls that have a pre-proposal or screening stage.  Partly because it spreads out the work a bit over two deadlines, but also because it if I spend an entire week losing sleep I want to have a reasonable chance at actually receiving the award."
"P_241",0,0,1,1,0,"Proposal to DoD (including STTRs to the services) are interactive and solicited and are quite different than NSF/NIH/DoE"
"P_244",1,0,0,0,0,"I have been doing proposals for 34 years and learned to start early, finish early, and not get consumed by it all."
"P_245",0,0,0,0,0,"Most professors I know, myself included, tend to procrastinate a bit on the writing until a deadline is approaching. The level of productivity and stress both rise significantly during the week or two leading up to a deadline. Personally, I submit to directorates within NSF that have a deadline and that have open submission windows. I submitted to both recently within a couple weeks of each other and the process of submitting without the deadline was significantly less stressful. However, if submitting as a sole PI, I'm not sure that without having a deadline I would have been disciplined enough to submit. It really helps to have multiple PIs on a proposal to motivate submission for an open window."
"P_246",0,0,1,0,0,"It's not the deadlines, it's the binary nature of grant funding. If 20 awards get funded, and you are ranked 21, you may as well as been ranked 1000. Large agencies (NIH, NSF) should create sliding scale mechanisms: We won't give you 1 million, but here is 50k/100k to continue developing the prelim data. This becomes important for providing certainty/flexibility for graduate students and postdocs, and allows more efficient use of research funds and directions."
"P_248",1,0,0,0,0,"I try to avoid last minute work as too stressful. I'm usually collaborating with others, and sometimes the stress falls on them."
"P_249",1,1,1,1,1,"The 5yr + 5yr funding significantly lowers the amount of time and stress associated with obtaining external monies. Also being older and having administered many grants significantly reduces stress."
"P_250",0,0,0,0,0,"Perhaps ask about proposal team composition, e.g.  What is your ideal number of co-PIs in a proposal team? On average how many GRA positions you include in a proposal? Do you budget for technicians? So far the survey didn't ask about close proposal or research collaborators.  "
"P_251",0,0,1,1,0,"Deadlines are needed... it's a question of organization.  Without Deadlines, which are goalposts, fewer proposals would be submitted. "
"P_252",0,0,1,1,0,"Give awards based on performance over the last 5 years. Do away with the proposals except for career awards."
"P_254",1,1,1,1,1,"I  tell new faculty that there are no half measures when submitting an NSF proposal. You need to be ALL IN, or not even bother. Everything else must be put on hold. It is an extremely competitive environment. "
"P_256",0,0,0,0,0,"Proposal deadlines during fall and spring semesters have higher impact. Please moving  deadlines to winter break and/or summer break as permitted by financial calendar."
"P_259",0,0,1,1,0,"Stresses with working with collaborators; grants office staff"
"P_260",0,0,0,0,0,"my NSF section has moved to no deadlines, I am relieved and dismayed by that, it will lead to longer proposal preparation [bad] and no mad dash [good]"
"P_266",1,1,1,0,0,"Frankly, the problem and source of the tension is the low acceptance rate of new proposals and the tradition of flat funding of renewal proposals without inflationary increases (which then get eroded by inflation).  This is compounded by the increase in unfunded mandates and deliverables (Broader Impacts, Broadening Participation, FAIR data management plans, Diversity and Inclusion plans, postdoctoral mentoring plans, etc.) that must be included into proposals but often are not provided additional funds to support them."
"P_267",0,0,0,0,0,"We've created this weird system where you invest a bunch of energy, are probably going to fail, and then end up getting more headache once you get the grant. Not sure its worth it."
"P_268",1,0,0,0,0,"I put the blame on myself. I should start a grant months in advance."
"P_269",1,1,0,0,0,"A lot of this varies especially depending on co-investigators.  Some meet deadlines and some do not.  I prefer those that meet the deadlines."
"P_270",0,0,0,0,0,"Proposal deadlines should be abolished across agencies and open submission should be adopted everywhere possible.    The process is amazingly stressful and has resulted in significant strain on my marriage and health.  I have decreased the number of proposals I write in a year as a result of these negative outcomes.  I've also spent years in marriage counseling, in part due to the strain of proposal writing.  You might also ask people if they've considered leaving academic research due to overall unhappiness with the funding of academic research.  I have done so. I will likely leave my position or work to significantly modify my appointment to avoid this odious, inefficient, horrible process."
"P_271",0,0,0,0,0,"herding the cats akka collaborators causes the most stress"
"P_275",1,1,0,0,0,"Since the proposal needs to pass by the office dealing with grant in my University, I need to send it to this office at least two weeks in advance. I have  help from an administrator in my department in preparing and submitting a proposal. This helps a lot!"
"P_280",0,0,0,0,0,"colleagues are insufficiently trained in the science of team science methodologies"
"P_282",1,1,1,0,0,"I prefer a deadline. Even though the week before is busy it helps reduce project creep. "
"P_285",1,1,1,1,1,"I like the excitement of writing grant proposals because they are so forward looking. Papers are so retro. I don't allow myself too much time (in days) to write a grant proposal because I think it is important to maintain excitement about what I am proposing. If I leave too much time then I. believe that I second guess myself. I don't always get funded the first time around, but a generally get funded eventually."
"P_286",1,0,0,0,0,"This survey seems primarily aimed at lab scientists. Theoretical work is not well-covered, so I put the nearest most relevant answer for most questions.    While I agree deadlines in general have lots of negative consequences, the flip side of deadlines is that I find deadlines very motivating, otherwise it might never get done. This is particularly true for myself as someone with ADHD."
"P_287",0,0,1,0,0,"I think there are many other stressful items to complete as part of my job, and without proposal deadlines, it would be difficult to prioritize completing proposals."
"P_289",0,0,1,1,0,"My university has an internal deadline 3 days before the proposal is due, so usually by the day of the proposal there is very little left, if you asked about the days leading up to the internal deadline, my answer might be different    Also it is important to note the time writing proposals takes away from writing papers and other aspects of research.  I cut back significantly on the number of proposals I submit and now get in many more papers submitted per year than I was able to when I was submitting more proposals."
"P_290",1,0,0,0,0,"Deadlines are also setting a clear window in my calendar to work on proposals and help plan forward for them.     Perhaps more frequent rolling deadlines for large programs, e.g., every 3 months, is the best setup. It reduces the stress of a single deadline but also sets a timeline and allows scheduling of effort both for the submitters and the funding agencies. "
"P_291",0,0,0,0,0,"Doing away with deadlines altogether as has been done in some NSF programs, seems like a good plan in practice but for me I found that I don't submit at all - the deadlines help me to bring the proposal up higher on the ""to-do"" list and make it happen."
"P_292",0,0,1,0,0,"(1) Proposals are useful for ""big-picture"" planning of the program. (2) The non-science overhead is enormous and has been increasing exponentially (e.g., NSF requires more documents in ever stricter formats every year), so removing some of these requirements would be good. The proposals can also be 30-50% shorter without significant loss of meaning. (3) Would be great if agencies agreed that there should be periods during the year with no deadlines (right after August, December). "
"P_297",0,0,1,0,0,"To me, the major stressful part of the proposal submission is related to the program administrative requirements rather than the technical part itself. Making sure everything is formatted the proper way, making sure all the documents are uploaded at the right place, with proper heading,... is, to me the most stressful because having a proposal returned without review on a technicality like this would be terrible.  The other stressful part is that people depend on you and your ability to secure funding to pay them (grad students, postdocs,...).  Every proposal is submitted with these people in mind, having proposal rejected despite having good reviews puts these people in jeopardy. As a person who cares about students, I find this also stressful."
"P_299",0,0,1,0,0,"Proposal deadline is a motivation to drive me to work towards the finish line. However, it also has very negative impact to my life. I think the negative impact from high pressure and frequent deadlines caused my procrastination symptoms. "
"P_301",0,0,0,0,0,"If NSF or another funding agency has an RFA with a deadline, they MUST tell us about the RFA and deadline more than 6 months ahead of time, not two or three months before the deadline, AND they must have the webinars that explain the RFA and what NSF wants more than a month before the deadline.  I must turn in final budgets, including any subcontracts, to my university 1 month before a deadline, so that means that I can't respond to RFAs with short times to deadlines - and webinars held 1 month before a deadline are almost useless.  When an RFA is announced in the middle of a semester, my time for that semester might already be too committed to respond to an RFA - I need to know BEFORE the semester starts so that I MIGHT be able to postpone some other things like undergraduate research projects or grad student rotations or committee work to the next semester.  I cannot create more hours in the day just because NSF decides that they are going to offer a novel type of interdisciplinary $1 million dollar grant but I have only ten weeks to put together a multi-university team, get the subcontracts together, AND write the proposal."
"P_303",1,0,1,0,0,"Most universities, including mine, have internal deadlines that are actually more stressful than the sponsor deadline. These grants offices are often badly staffed with people who only understand compliance. They undermine the quality of our proposals when we are forced to have them turned in early, especially for some of these grants that have a short RFP->deadline time."
"P_304",1,0,1,0,0,"I find proposal deadlines useful, so long as they occur frequently enough (i.e., multiple times a year, like the NIH standard deadlines). In this scenario the deadlines provide a push to complete the task, and if the deadline is missed, there is another opportunity arriving soon."
"P_305",0,0,0,0,0,"rolling deadlines"
"P_306",0,0,0,0,0,"It seems that the nsf due programs I submit to have due dates at the worst times, like end of semester or final exam week."
"P_307",1,0,1,0,0,"The deadline issue is artificial. It serves as a powerful incentive to get the proposal done. It's part of the package deal of having a sweet life as an academic."
