"Rank","Mental","Physical","Temporal","Performance","Effort","Frustration","NASA","Trait","Extraversion","Agreeableness","Conscientiousness","Neuroticism","Openness","Avoidance","Emotion","Task"
"Professor",5,1,4,5,5,3,23,38,9,7,10,5,7,25,21,26
"Assistant Professor",2,1,1,7,1,4,16,43,5,9,9,6,7,18,21,32
"Professor",4,1,6,3,4,5,23,48,3,9,8,5,8,16,15,26
"Professor",6,2,4,4,5,5,26,52,5,8,10,4,10,18,19,27
"Professor",7,6,7,7,3,6,36,51,2,10,9,6,10,13,24,35
"Associate Professor",4,1,2,5,4,3,19,45,5,7,9,8,6,17,26,27
"Professor",4,2,3,5,4,2,20,36,8,7,9,4,7,19,14,32
"Professor",4,1,4,5,5,3,22,48,10,8,9,6,5,19,19,28
"Associate Professor",5,3,6,4,6,4,28,48,6,7,8,8,7,15,22,21
"Assistant Professor",4,2,4,3,3,4,20,57,4,5,7,8,6,19,23,23
"Assistant Professor",5,2,5,3,5,6,26,58,5,6,7,7,6,19,21,22
"Professor",3,1,3,3,3,2,15,29,4,7,9,5,9,25,14,27
"Associate Professor",7,5,5,5,7,7,36,70,7,7,10,8,9,15,28,27
"Professor",5,4,4,5,5,2,25,37,4,8,10,9,5,18,20,34
"Professor",4,3,3,6,5,1,22,24,9,10,10,4,6,23,10,32
"Professor",3,3,3,3,3,3,18,43,6,9,10,7,9,23,26,30
"Associate Professor",3,1,2,3,3,2,14,38,9,7,6,5,8,17,21,21
"Professor",4,1,3,3,4,2,17,34,4,9,8,3,5,15,15,25
"Assistant Professor",6,6,6,6,6,6,36,47,8,9,9,8,9,21,21,21
"Professor",3,1,2,3,4,4,17,42,6,7,9,4,8,19,25,27
"Professor",5,4,5,5,4,2,25,33,7,9,9,6,9,28,18,21
"Professor",3,3,1,6,4,2,19,29,9,6,10,4,9,31,16,33
"Professor",4,5,5,5,5,4,28,48,7,6,9,7,10,16,18,19
"Professor",6,1,4,3,3,6,23,43,3,6,7,8,6,12,23,27
"Associate Professor",5,2,1,5,5,4,22,38,5,9,9,3,6,23,14,32
"Professor",4,5,4,4,4,3,24,43,9,5,10,6,5,22,21,26
"Assistant Professor",3,1,1,3,5,2,15,28,6,5,5,3,5,24,7,26
"Professor",4,1,1,7,5,1,19,33,8,10,10,4,6,20,9,33
"Professor",4,1,1,3,3,2,14,49,3,4,10,8,8,9,10,28
"Associate Professor",4,1,4,6,5,2,22,25,2,6,10,5,8,12,11,32
"Professor",3,1,4,4,3,5,20,38,3,7,10,4,8,16,22,29
"Assistant Professor",2,1,1,6,2,1,13,34,10,7,9,5,10,9,18,30
"Professor",4,4,2,5,3,1,19,47,4,10,8,7,7,14,21,25
"Professor",3,2,2,4,3,2,16,36,4,9,9,6,4,16,16,31
"Professor",5,2,2,4,5,2,20,41,4,7,8,4,9,19,19,29
"Assistant Professor",5,1,1,2,3,3,15,30,5,7,8,2,5,22,14,28
"Associate Professor",4,1,3,3,5,6,22,39,8,9,10,3,7,26,15,31
"Associate Professor",7,1,7,2,7,7,31,59,2,5,6,6,5,16,30,16
"Professor",5,1,1,7,5,2,21,37,6,6,9,6,6,15,9,33
"Associate Professor",3,1,3,5,4,2,18,41,3,10,9,4,7,19,13,28
"Professor",6,3,4,6,6,4,29,45,6,9,9,8,7,17,22,34
"Professor",4,4,4,4,4,4,24,49,6,6,7,8,7,22,27,26
"Associate Professor",2,1,1,2,2,1,9,37,4,8,5,4,6,14,14,26
"Associate Professor",5,2,6,3,5,7,28,56,8,6,7,10,9,26,31,27
"Assistant Professor",5,4,2,2,6,7,26,55,2,4,10,7,10,10,13,31
"Associate Professor",6,1,6,3,4,3,23,38,7,8,8,5,10,24,20,30
"Assistant Professor",6,1,4,4,5,4,24,45,6,9,6,6,6,24,13,26
"Professor",5,5,3,3,5,3,24,32,5,10,10,7,5,25,10,31
"Assistant Professor",7,3,7,5,6,5,33,43,8,10,4,6,9,26,25,25
"Professor",4,5,4,6,5,2,26,31,2,6,8,3,8,17,12,30
"Professor",4,2,2,3,3,3,17,39,8,7,9,6,7,26,21,27
"Associate Professor",4,1,1,6,6,2,20,26,7,8,10,3,10,10,15,34
"Associate Professor",3,2,1,4,4,5,19,60,4,8,7,10,8,24,31,17
"Associate Professor",5,4,4,5,4,4,26,42,8,7,6,6,7,24,17,23
"Associate Professor",4,2,4,4,5,3,22,28,3,4,10,3,8,17,10,30
"Professor",5,2,6,2,7,7,29,37,10,7,9,8,8,24,22,28
"Associate Professor",5,2,4,4,5,6,26,55,6,6,6,6,6,21,21,21
"Associate Professor",5,1,3,4,5,4,22,45,5,4,10,6,5,14,16,21
"Assistant Professor",5,4,5,5,5,6,30,49,6,7,7,7,6,19,22,26
"Assistant Professor",3,1,3,4,4,3,18,41,5,7,10,4,7,15,11,32
"Associate Professor",5,2,3,5,5,2,22,52,8,6,6,8,8,15,26,27
"Associate Professor",5,1,7,3,5,5,26,24,4,8,10,2,6,19,8,33
"Professor",4,2,6,4,5,5,26,45,9,7,8,4,5,25,24,27
"Professor",6,5,3,4,5,3,26,45,3,7,8,4,8,17,9,29
"Associate Professor",5,1,6,7,5,4,28,34,2,6,7,4,6,11,15,33
"Associate Professor",5,2,4,5,5,4,25,52,6,8,8,7,8,17,26,26
"Associate Professor",5,1,3,6,3,2,20,50,6,5,10,7,10,25,22,30
"Assistant Professor",5,1,5,3,6,5,25,50,5,7,7,7,10,29,18,27
"Associate Professor",3,1,3,6,5,1,19,27,8,8,9,3,10,16,7,32
"Assistant Professor",4,2,1,5,6,5,23,62,5,9,10,8,5,15,28,31
"Professor",4,2,1,3,3,5,18,66,10,4,10,10,9,20,28,22
"Associate Professor",5,2,3,5,5,2,22,61,6,6,7,9,9,27,29,29
"Professor",6,1,2,5,6,1,21,27,5,9,9,3,10,18,13,31
"Assistant Professor",7,1,2,5,7,6,28,41,8,9,9,8,8,11,21,35
"Professor",4,1,3,3,5,5,21,46,3,7,9,6,10,17,16,26
"Assistant Professor",4,1,2,3,4,4,18,42,5,5,9,5,7,13,15,28
"Professor",3,2,2,6,3,1,17,34,8,5,9,4,8,19,17,31
"Professor",3,2,3,3,3,6,20,56,10,6,9,6,9,15,18,30
"Assistant Professor",6,1,3,5,6,4,25,36,3,8,6,5,6,25,10,24
"Professor",6,2,4,5,5,2,24,37,5,5,9,6,10,19,16,30
"Assistant Professor",5,5,6,7,4,4,31,33,9,6,10,6,9,26,11,32
"Professor",5,1,2,5,4,1,18,30,7,8,7,6,7,28,20,31
"Associate Professor",5,2,3,3,5,5,23,48,9,3,8,9,6,14,30,29
"Assistant Professor",4,2,2,4,6,6,24,41,10,10,10,4,6,19,14,30
"Associate Professor",5,1,2,6,4,1,19,22,7,9,9,2,10,16,11,30
"Professor",3,1,2,3,3,3,15,50,5,7,6,9,7,22,26,25
"Professor",6,1,4,3,5,4,23,30,4,10,10,3,7,17,14,16
"Associate Professor",5,2,4,6,5,2,24,42,7,8,6,4,6,25,12,32
"Professor",6,1,4,3,6,5,25,34,9,8,10,3,6,24,18,26
"Professor",4,2,4,4,4,4,22,45,2,7,5,4,6,15,20,22
"Professor",4,1,1,5,5,1,17,34,10,7,9,4,10,27,10,30
"Assistant Professor",5,2,5,4,7,6,29,58,4,7,10,7,6,22,23,29
"Professor",2,1,1,6,2,2,14,29,4,9,6,3,7,12,10,31
"Associate Professor",6,3,4,2,5,6,26,62,2,9,8,9,10,17,32,29
"Associate Professor",6,2,5,5,7,6,31,31,10,8,7,7,6,21,20,32
"Associate Professor",2,1,1,5,4,2,15,30,7,10,5,5,7,20,14,29
"Assistant Professor",4,3,3,4,5,4,23,52,7,9,9,9,7,24,28,21
"Associate Professor",6,1,5,4,4,5,25,47,5,5,9,8,8,17,14,27
"Associate Professor",3,2,3,5,5,5,23,30,6,9,8,3,9,18,16,33
"Professor",4,2,2,6,4,1,19,26,5,9,6,4,6,9,9,28
"Associate Professor",2,1,2,2,2,2,11,29,7,6,9,3,6,14,15,32
"Associate Professor",5,5,3,4,5,5,27,48,5,5,6,9,9,20,24,23
"Professor",4,4,4,3,4,2,21,46,4,7,10,5,8,19,19,26
"Assistant Professor",6,1,7,5,7,6,32,55,5,7,10,8,8,18,27,25
"Associate Professor",5,3,4,4,4,2,22,46,3,9,7,6,6,25,17,24
"Assistant Professor",3,1,5,6,5,2,22,43,4,10,8,5,8,16,24,28
"Professor",4,2,2,4,3,2,17,34,7,7,10,3,10,24,15,32
"Associate Professor",5,5,7,5,5,5,32,49,4,5,5,6,7,16,28,27
"Professor",4,1,3,7,4,1,20,25,10,10,9,5,8,23,7,33
"Assistant Professor",3,2,4,3,4,5,21,51,4,7,6,8,4,24,23,22
"Professor",2,1,1,4,3,2,13,31,8,9,6,2,10,15,10,29
"Professor",2,2,2,3,3,3,15,40,5,7,8,5,7,20,17,30
"Associate Professor",2,2,4,2,5,5,20,29,4,7,10,6,7,16,10,28
"Professor",4,3,3,5,5,2,22,39,5,8,10,4,9,24,25,31
"Assistant Professor",1,1,1,1,1,1,6,37,2,5,8,4,6,18,16,25
"Professor",4,4,4,5,6,4,27,47,8,5,10,8,4,12,14,28
"Associate Professor",6,1,6,5,7,6,31,27,9,10,10,4,10,31,11,35
"Professor",3,1,1,3,2,1,11,20,8,4,5,2,6,21,7,33
"Associate Professor",4,1,3,3,5,4,20,52,2,7,9,7,8,13,26,26
"Assistant Professor",5,3,5,5,6,7,31,47,8,5,9,9,9,19,26,30
"Associate Professor",5,1,5,6,6,2,25,52,3,8,10,7,10,21,24,26
"Assistant Professor",5,1,2,7,5,2,22,49,6,5,10,4,7,24,19,29
"Professor",3,3,3,3,3,3,18,40,6,6,9,10,7,10,13,31
"Professor",5,2,3,4,4,3,21,30,7,9,10,5,9,14,14,29
"Associate Professor",5,3,5,4,4,5,26,41,3,6,10,6,7,11,16,30
"Assistant Professor",3,4,2,3,3,5,20,38,6,5,6,4,10,20,12,31
"Assistant Professor",2,1,2,4,3,2,14,30,9,10,8,4,5,18,27,28
"Professor",4,2,4,5,4,2,21,31,10,9,10,3,10,17,11,33
"Associate Professor",4,4,4,2,6,5,25,40,8,8,9,3,10,19,19,35
"Assistant Professor",3,1,2,6,3,1,16,31,8,7,10,3,10,15,18,35
"Associate Professor",3,1,2,4,2,1,13,38,4,9,10,5,6,29,21,26
"Professor",5,3,4,6,5,2,25,25,5,8,10,2,6,19,13,34
"Professor",4,2,3,5,4,2,20,52,4,7,10,9,10,22,28,25
"Professor",4,2,4,7,4,2,23,36,6,8,5,5,8,13,14,27
"Associate Professor",2,2,2,6,4,2,18,32,9,7,5,4,9,28,18,27
"Professor",3,2,3,6,4,3,21,47,8,8,10,6,8,12,24,27
"Professor",1,1,2,7,2,2,15,48,2,6,6,8,5,17,24,30
"Associate Professor",4,2,4,4,5,5,24,41,5,8,10,7,9,25,19,31
"Assistant Professor",6,2,2,3,5,6,24,39,10,9,8,4,9,19,17,23
"Professor",1,1,1,4,4,4,15,68,5,6,7,10,5,21,31,28
"Professor",3,3,3,2,3,4,18,57,6,5,8,7,10,12,27,31
"Assistant Professor",5,1,2,5,5,4,22,46,4,8,10,6,8,20,23,29
"Professor",4,4,4,4,4,4,24,21,7,10,10,2,5,19,9,35
"Associate Professor",5,2,3,3,3,4,20,48,10,8,9,4,10,22,23,25
"Professor",5,3,6,4,5,3,26,32,5,7,9,4,7,13,11,30
"Professor",2,1,2,6,2,1,14,28,7,7,10,3,10,16,15,35
"Associate Professor",3,2,2,4,3,4,18,49,4,7,7,7,5,17,21,25
"Assistant Professor",4,1,1,3,4,4,17,60,5,6,7,5,9,17,26,24
"Assistant Professor",6,4,6,6,7,4,33,40,3,5,10,6,6,18,18,30
"Assistant Professor",5,1,4,4,4,3,21,40,6,9,10,6,6,20,18,34
"Professor",6,1,6,2,6,3,24,46,7,8,9,2,10,10,22,32
"Professor",5,1,6,5,6,5,28,53,7,7,10,6,6,21,14,22
"Associate Professor",6,5,6,4,6,5,32,46,4,6,8,6,5,15,18,34
"Assistant Professor",4,1,5,7,6,5,28,37,5,7,10,5,8,15,17,29
"Assistant Professor",4,1,3,4,4,3,19,44,8,10,6,5,8,21,14,27
"Associate Professor",6,1,5,5,5,7,29,44,6,5,7,5,5,22,26,26
"Professor",3,3,3,5,3,2,19,32,2,9,10,6,8,20,17,31
"Professor",6,3,4,6,6,2,27,37,7,10,10,4,7,21,17,30
"Associate Professor",6,3,3,3,3,1,19,47,5,10,10,6,6,23,23,30
"Professor",5,1,2,4,3,3,18,55,8,7,8,6,10,16,23,28
"Assistant Professor",1,1,1,1,1,1,6,47,6,6,6,6,6,7,7,7
"Associate Professor",6,2,5,4,5,4,26,35,4,7,7,5,8,23,14,30
"Professor",7,2,5,5,6,4,29,38,8,5,9,8,6,20,21,27
"Assistant Professor",4,2,5,3,4,2,20,39,10,10,9,5,6,19,13,24
"Professor",3,1,2,5,2,1,14,30,4,8,7,6,10,13,12,27
"Associate Professor",5,1,5,5,5,5,26,35,6,8,7,6,6,18,19,29
"Professor",3,1,3,4,3,3,17,25,9,9,9,3,8,23,10,28
