"Classification","Department","Gender","Race","Computer_type","Primary_Computer","Computer_purchased","Computer_screen","Warranty","Webcam","Computer_rating","Computer_model","ownership","operating_system","Os_version","Processor","RAM","Hard_disk","Data_HD","Backup","Backup_method","Ext_brand","Clou_brand","Backup_frequency","Automatic_backups","Loss_of_data","UH_M_OneDrive","Secondary_device","Synced_Primary","Smartphone","Smartphone_brand","Smartphone_model","smartwatch","Smartwatch_brand","Smartwatch_model","Course_format","Confident_installing","Internet_speed","Internet_reliability","Computer_labs","Customare_vcare"
"Sophomore","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2018","15''","No","Built-in","Good","Dell Inspiron 5000","Own","Windows OS","Windows 10 Home","Intel Core i5","> 32 GB","256 GB","< 100 GB","No","","","","","","Yes","No","No","","Yes","Samsung","Samsung Galaxy","No","","","Fully Online","Not confident","< 100 Mbps","Good","Somewhat likely","Yes"
"PhD","Mathematics","Male","International","Standard User","Laptop","2019","13''","No","Built-in","Good","Apple Macbook Air","Own","Mac OS","Catalina","Intel Core i5","4 GB","128 GB","< 100 GB","Yes","Cloud","","Google Drive","Daily","Yes","No","Yes","No","","Yes","Other","Other","No","","","Hybrid/Blended","Very confident","100 - 300 Mbps","Good","Neither likely nor unlikely","No"
"Junior","Computer Science","Male","Hispanic","Standard User","Laptop","2016","13''","No","No","Average","Apple Macbook Pro","Own","Mac OS","Catalina","Intel Core i5","8 GB","128 GB","< 100 GB","Yes","Cloud","","Apple iCloud","Weekly","No","No","Yes","No","","Yes","iPhone","iPhone 8","No","","","Fully Online","Very confident","< 100 Mbps","Poor","Very unlikely","Yes"
"Sophomore","Computer Science","Male","Asian American","Standard User","Laptop","2012","13''","No","Built-in","Good","Apple Macbook Pro","Own","Mac OS","Mojave","Intel Core i5","16 GB","512 GB","< 100 GB","Yes","External backup disk","WD","","Monthly","No","No","Yes","Yes","Yes","Yes","iPhone","Other","No","","","Hybrid/Blended","Very confident","< 100 Mbps","Good","Very unlikely","Yes"
"PhD","Chemistry","Male","International","Standard User","Laptop","2012","14''","No","Built-in","Poor","Other","Own","Windows OS","Other","Intel Core i5","4 GB","512 GB","100 GB - 500 GB","No","","","","","","Yes","Yes","No","","Yes","iPhone","iPhone X Series","No","","","Fully Online","Very confident","< 100 Mbps","Poor","Very unlikely","Yes"
"Junior","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2017","15''","No","Built-in","Good","Lenovo Yoga","Own","Windows OS","Windows 10 Home","Intel Core i5","8 GB","256 GB","100 GB - 500 GB","Yes","Cloud","","Microsoft OneDrive","Other","No","No","Yes","No","","Yes","Other","Other","No","","","Hybrid/Blended","Somewhat confident","< 100 Mbps","Excellent","Very unlikely","Maybe"
"Junior","Biology and Biochemistry","Male","White","Standard User","Laptop","2018","13''","No","Built-in","Excellent","Apple Macbook Pro","Own","Mac OS","Catalina","Intel Core i5","8 GB","256 GB","< 100 GB","No","","","","","","No","No","No","","Yes","iPhone","Other","No","","","Fully Online","Somewhat confident","< 100 Mbps","Excellent","Very unlikely","Yes"
"PhD","Chemistry","Male","White","Standard User","Laptop","2013","14''","No","Built-in","Excellent","Apple Macbook Air","Own","Mac OS","High Sierra","Intel Core i7","4 GB","256 GB","100 GB - 500 GB","Yes","Both","Seagate","Dropbox","Other","No","No","No","Yes","No","Yes","iPhone","Other","No","","","Hybrid/Blended","Very confident","300 - 500 Mbps","Good","Very unlikely","Maybe"
"Freshman","Biology and Biochemistry","Male","Hispanic","Standard User","Laptop","2020","15''","No","Built-in","Good","Other","Own","Windows OS","Windows 10 Pro","Intel Core i7","16 GB","512 GB","100 GB - 500 GB","No","","","","","","Yes","No","No","","Yes","Google","Other","No","","","Hybrid/Blended","Somewhat confident","100 - 300 Mbps","Average","Neither likely nor unlikely","Yes"
"Junior","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2018","13''","No","Built-in","Average","Apple Macbook Air","Own","Mac OS","High Sierra","Intel Core i7","8 GB","128 GB","< 100 GB","Yes","Cloud","","Apple iCloud","Weekly","No","No","No","No","","Yes","iPhone","Other","No","","","Fully Online","Neutral","300 - 500 Mbps","Good","Somewhat likely","Yes"
"Freshman","Biology and Biochemistry","Female","Hispanic","Standard User","Laptop","2020","13''","No","Built-in","Excellent","Apple Macbook Pro","Own","Chrome OS","Windows 10 Pro","Intel Core i9","8 GB","128 GB","100 GB - 500 GB","Yes","Both","Samsung","Google Drive","Daily","Yes","Yes","Yes","No","","Yes","iPhone","iPhone X Series","Yes","Apple Watch","Apple Watch 3","Face-to-Face","Somewhat confident","300 - 500 Mbps","Average","Somewhat unlikely","Yes"
"Senior","Biology and Biochemistry","Female","Hispanic","Standard User","Laptop","2018","14''","No","Built-in","Average","Lenovo ThinkPad","Own","Windows OS","Windows 10 Home","Intel Core i7","4 GB","128 GB","< 100 GB","No","","","","","","No","No","Yes","No","Yes","Samsung","Samsung Galaxy","No","","","Hybrid/Blended","Not confident","100 - 300 Mbps","Average","Very unlikely","Yes"
"P-B second-degree","Computer Science","Female","Hispanic","Standard User","Tablet","2019","13''","1 year","Built-in","Good","Microsoft Surface","Own","Windows OS","Windows 10 Pro","Intel Core i9","32 GB","128 GB","500 GB - 1 TB","Yes","Cloud","","Microsoft OneDrive","Monthly","Yes","No","Yes","No","","Yes","Samsung","Samsung Galaxy","Yes","Fitbit","Fitbit Versa","Hybrid/Blended","Somewhat confident","300 - 500 Mbps","Average","Somewhat likely","Yes"
"Sophomore","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2017","14''","No","Built-in","Average","Dell Inspiron 7000","Own","Windows OS","Windows 10 Home","Intel Core i7","8 GB","128 GB","< 100 GB","Yes","External backup disk","Seagate","","Other","No","Yes","No","No","","Yes","iPhone","Other","No","","","Fully Online","Neutral","300 - 500 Mbps","Average","Somewhat likely","Yes"
"Senior","Computer Science","Male","Multiracial","Standard User","Laptop","2017","15''","No","No","Good","Dell Inspiron 7000","Own","Windows OS","Windows 10 Home","Intel Core i7","16 GB","1 TB","500 GB - 1 TB","No","","","","","","No","Yes","No","","Yes","Samsung","Samsung Galaxy","No","","","Fully Online","Moderately confident","300 - 500 Mbps","Good","Somewhat unlikely","Maybe"
"MS","Mathematics","Prefer Not to Say","Prefer Not to Say","Standard User","Desktop","2020","17''","No","External","Excellent","Other","Own","Windows OS","Windows 10 Home","AMD Ryzen","32 GB","> 1 TB","100 GB - 500 GB","No","","","","","","No","Yes","Yes","No","Yes","Google","Google Pixel 3a","Yes","Other","Other","Face-to-Face","Very confident","> 500 Mbps","Excellent","Very unlikely","No"
"PhD","Computer Science","Male","International","Standard User","Laptop","2015","15''","No","Built-in","Average","Dell Inspiron 3000","Own","Windows OS","Windows 10 Home","Intel Core i5","8 GB","512 GB","100 GB - 500 GB","Yes","Cloud","","Google Drive","Weekly","Yes","No","Yes","No","","Yes","Samsung","Samsung Galaxy","No","","","Fully Online","Moderately confident","100 - 300 Mbps","Good","Very likely","Yes"
"Sophomore","Biology and Biochemistry","Female","White","Standard User","Laptop","2017","13''","1 year","Built-in","Good","Dell Inspiron 5000","Own","Windows OS","Windows 10 Home","Intel Core i7","16 GB","128 GB","< 100 GB","No","","","","","","No","No","No","","Yes","iPhone","iPhone 8","No","","","Fully Online","Not confident","100 - 300 Mbps","Good","Somewhat likely","Maybe"
"Sophomore","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2019","13''","No","Built-in","Excellent","Apple Macbook Air","Own","Mac OS","Catalina","Intel Core i5","8 GB","256 GB","100 GB - 500 GB","No","","","","","","No","No","Yes","No","Yes","iPhone","iPhone 11","No","","","Hybrid/Blended","Neutral","300 - 500 Mbps","Good","Very unlikely","Yes"
"PhD","Physics","Male","International","Standard User","Laptop","2015","15''","No","Built-in","Average","Apple Macbook Air","University property","Mac OS","Catalina","Intel Core i5","4 GB","256 GB","< 100 GB","No","","","","","","No","No","Yes","No","Yes","Samsung","Samsung Galaxy","No","","","Hybrid/Blended","Not confident","< 100 Mbps","Fair","Somewhat likely","Maybe"
"Freshman","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2020","13''","No","Built-in","Excellent","Apple Macbook Air","Own","Mac OS","Catalina","Intel Core i5","8 GB","512 GB","100 GB - 500 GB","Yes","Cloud","","Apple iCloud","Other","Yes","No","Yes","Yes","Yes","Yes","iPhone","iPhone 11","Yes","Apple Watch","Apple Watch 3","Hybrid/Blended","Somewhat confident","< 100 Mbps","Good","Neither likely nor unlikely","Yes"
"Senior","Biology and Biochemistry","Female","White","Standard User","Laptop","2018","17''","No","Built-in","Average","Other","Own","Windows OS","Windows 10 Home","Intel Core i7","16 GB","512 GB","100 GB - 500 GB","No","","","","","","Yes","Yes","Yes","No","Yes","Other","Other","No","","","Face-to-Face","Somewhat confident","< 100 Mbps","Poor","Somewhat unlikely","Yes"
"Junior","Physics","Female","Other","Standard User","Tablet","2019","13''","No","Built-in","Average","Other","Own","Mac OS","Other","Other","16 GB","256 GB","100 GB - 500 GB","Yes","Cloud","","Google Drive","Daily","No","Yes","No","No","","Yes","iPhone","iPhone X Series","No","","","Hybrid/Blended","Not confident","< 100 Mbps","Average","Somewhat unlikely","Yes"
"Freshman","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2015","13''","1 year","Built-in","Good","Apple Macbook Pro","Own","Mac OS","Catalina","Intel Core i5","8 GB","512 GB","100 GB - 500 GB","No","","","","","","No","No","No","","Yes","iPhone","iPhone X Series","No","","","Hybrid/Blended","Somewhat confident","100 - 300 Mbps","Average","Somewhat unlikely","Maybe"
"PhD","Biology and Biochemistry","Male","International","Standard User","Laptop","2018","13''","1 year","Built-in","Good","Apple Macbook Pro","University property","Mac OS","Catalina","Intel Core i5","8 GB","256 GB","100 GB - 500 GB","Yes","External backup disk","Seagate","","Monthly","No","No","No","No","","Yes","iPhone","iPhone 8","Yes","Fitbit","Fitbit Versa","Fully Online","Somewhat confident","< 100 Mbps","Average","Somewhat unlikely","Yes"
"Senior","Biology and Biochemistry","Male","Asian American","Standard User","Laptop","2018","13''","No","External","Excellent","Lenovo Yoga","Own","Windows OS","Windows 10 Home","Intel Core i7","16 GB","256 GB","100 GB - 500 GB","Yes","Cloud","","Microsoft OneDrive","Daily","Yes","No","No","No","","Yes","iPhone","iPhone X Series","Yes","Apple Watch","Apple Watch 3","Hybrid/Blended","Very confident","300 - 500 Mbps","Excellent","Neither likely nor unlikely","Maybe"
"Sophomore","Biology and Biochemistry","Female","Prefer Not to Say","Standard User","Laptop","2019","15''","No","Built-in","Good","Other","Own","Windows OS","Windows 10 Home","Intel Core i5","8 GB","256 GB","100 GB - 500 GB","No","","","","","","No","Yes","Yes","No","Yes","iPhone","Other","No","","","Hybrid/Blended","Somewhat confident","300 - 500 Mbps","Good","Neither likely nor unlikely","Maybe"
"Junior","Computer Science","Female","Hispanic","Standard User","Laptop","2017","15''","No","Built-in","Poor","Dell Inspiron 3000","Own","Windows OS","Windows 10 Home","Other","8 GB","1 TB","100 GB - 500 GB","No","","","","","","Yes","No","No","","Yes","iPhone","Other","No","","","Face-to-Face","Very confident","< 100 Mbps","Poor","Somewhat likely","Yes"
"Senior","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2017","13''","No","Built-in","Excellent","Apple Macbook Air","Own","Mac OS","Catalina","Intel Core i5","8 GB","128 GB","< 100 GB","No","","","","","","No","Yes","No","","Yes","iPhone","iPhone X Series","Yes","Apple Watch","Apple Watch 5","Hybrid/Blended","Moderately confident","300 - 500 Mbps","Good","Somewhat likely","Maybe"
"MS","Computer Science","Male","International","Standard User","Laptop","2019","13''","No","Built-in","Average","Apple Macbook Pro","Own","Mac OS","Catalina","Intel Core i5","8 GB","256 GB","100 GB - 500 GB","Yes","Both","Seagate","Google Drive","Weekly","No","No","Yes","No","","Yes","Other","Other","No","","","Fully Online","Very confident","< 100 Mbps","Good","Somewhat likely","Maybe"
"Sophomore","Earth and Atmospheric Sciences","Female","White","Standard User","Laptop","2019","13''","1 year","Built-in","Average","Dell Inspiron 3000","Own","Windows OS","Windows 10 Home","Intel Core i7","8 GB","256 GB","< 100 GB","No","","","","","","Yes","Yes","No","","Yes","iPhone","iPhone 11","Yes","Apple Watch","Apple Watch 3","Hybrid/Blended","Somewhat confident","100 - 300 Mbps","Fair","Very unlikely","Maybe"
"Freshman","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2015","13''","No","Built-in","Excellent","Apple Macbook Air","Own","Mac OS","High Sierra","Intel Core i5","4 GB","128 GB","< 100 GB","No","","","","","","No","No","Yes","No","Yes","iPhone","iPhone X Series","No","","","Fully Online","Neutral","100 - 300 Mbps","Excellent","Very unlikely","Maybe"
"PhD","Biology and Biochemistry","Male","International","Standard User","Laptop","2018","14''","No","Built-in","Good","Other","Own","Windows OS","Windows 10 Enterprise","Intel Core i7","16 GB","1 TB","100 GB - 500 GB","Yes","External backup disk","Seagate","","Monthly","No","Yes","No","No","","Yes","Samsung","Other","No","","","Face-to-Face","Very confident","< 100 Mbps","Good","Somewhat likely","Yes"
"Sophomore","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2019","Other","No","Built-in","Excellent","Microsoft Surface","Own","Windows OS","Windows 10 Home","Intel Core i9","16 GB","256 GB","100 GB - 500 GB","No","","","","","","No","Yes","Yes","No","Yes","Samsung","Samsung Galaxy","No","","","Fully Online","Moderately confident","100 - 300 Mbps","Good","Somewhat unlikely","Maybe"
"P-B non-degree","Mathematics","Male","White","Standard User","Laptop","2019","15''","Other","Built-in","Good","Other","Other","Windows OS","Other","Intel Core i5","16 GB","1 TB","500 GB - 1 TB","Yes","Cloud","","Other","Daily","Yes","No","Yes","No","","Yes","iPhone","iPhone 8","No","","","Fully Online","Very confident","100 - 300 Mbps","Excellent","Very unlikely","Yes"
"PhD","Mathematics","Female","Asian American","Standard User","Laptop","2016","15''","No","Built-in","Good","Microsoft Surface","Own","Windows OS","Windows 10 Home","Intel Core i5","8 GB","128 GB","100 GB - 500 GB","No","","","","","","Yes","No","Yes","Yes","Yes","iPhone","Other","No","","","Face-to-Face","Very confident","300 - 500 Mbps","Good","Somewhat likely","Maybe"
"Freshman","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2018","13''","Other","Built-in","Excellent","Other","Own","Windows OS","Windows 10 Home","Intel Core i7","8 GB","128 GB","100 GB - 500 GB","Yes","Cloud","","Google Drive","Monthly","Yes","No","No","Yes","Yes","Yes","Samsung","Samsung Galaxy","No","","","Hybrid/Blended","Somewhat confident","300 - 500 Mbps","Good","Somewhat unlikely","Yes"
"PhD","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2018","13''","1 year","Built-in","Good","Apple Macbook Pro","Own","Mac OS","Catalina","Intel Core i5","8 GB","256 GB","100 GB - 500 GB","Yes","Cloud","","Apple iCloud","Daily","Yes","No","Yes","No","","Yes","iPhone","iPhone 11","Yes","Apple Watch","Apple Watch 5","Hybrid/Blended","Very confident","< 100 Mbps","Good","Very unlikely","Maybe"
"P-B non-degree","Biology and Biochemistry","Female","Hispanic","Standard User","Laptop","2016","14''","No","Built-in","Excellent","Apple Macbook Pro","Own","Mac OS","Other","Intel Core i5","8 GB","256 GB","100 GB - 500 GB","Yes","External backup disk","Samsung","","Other","No","No","No","No","","Yes","Samsung","Samsung Galaxy","No","","","Hybrid/Blended","Neutral","< 100 Mbps","Good","Somewhat unlikely","Maybe"
"Senior","Biology and Biochemistry","Male","White","Standard User","Laptop","2017","14''","No","Built-in","Excellent","Apple Macbook Air","Own","Mac OS","High Sierra","Intel Core i9","32 GB","512 GB","100 GB - 500 GB","Yes","Cloud","","Google Drive","Monthly","No","No","Yes","Yes","Yes","Yes","iPhone","Other","Yes","Apple Watch","Apple Watch 3","Hybrid/Blended","Very confident","> 500 Mbps","Good","Somewhat unlikely","Maybe"
"PhD","Earth and Atmospheric Sciences","Female","Multiracial","Standard User","Laptop","2017","15''","No","Built-in","Average","Dell Inspiron 3000","Own","Windows OS","Windows 10 Home","Intel Core i5","32 GB","1 TB","< 100 GB","Yes","External backup disk","WD","","Other","No","Yes","No","No","","Yes","Samsung","Samsung Galaxy","No","","","Fully Online","Moderately confident","300 - 500 Mbps","Good","Very unlikely","Yes"
"Junior","Physics","Female","Hispanic","Standard User","Laptop","2019","Other","No","Built-in","Excellent","Microsoft Surface","Own","Windows OS","Windows 10 Pro","Intel Core i7","8 GB","256 GB","100 GB - 500 GB","No","","","","","","No","No","No","","Yes","iPhone","Other","No","","","Face-to-Face","Neutral","100 - 300 Mbps","Average","Somewhat likely","Yes"
"Freshman","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2020","14''","No","Built-in","Good","Lenovo ThinkPad","Own","Windows OS","Windows 10 Home","Intel Core i5","> 32 GB","128 GB","< 100 GB","Yes","Cloud","","Google Drive","Weekly","No","Yes","Yes","No","","Yes","iPhone","iPhone X Series","Yes","Apple Watch","Apple Watch 3","Face-to-Face","Somewhat confident","100 - 300 Mbps","Good","Somewhat likely","Yes"
